%Terugkeertijd [jaren]	Werklijn afvoer [m3/s]	Werklijn afvoer uitgeintegreerde onzekerheid [m3/s]
2	5941	5941
3	6900	6913.47
5	7970	8000.85
10	9130	9188.71
20	10250	10332.46
30	10905	10998.07
50	11706	11841.83
100	12773	12918.26
200	13595	13732.92
300	14003	14146.98
500	14400	14588.84
1000	14835	15094.63
1250	14974	15246.34
2000	15268	15574.88
3000	15520	15868.63
4000	15700	16082.99
5000	15839	16249.71
10000	16271	16786.12
20000	16704	17338.63
30000	16956	17672.93
50000	17275	18096.77
100000	17707	18690.16
