%Maatgevende afvoergolf Lobith, HR2001
%Afkomstig uit "afvoergolvenLobith_uitgebreid.mdb"
%Door: Chris Geerse
%Datum: 15 april 2009
%
%
%tijd, dagen    afvoer, m3/s
%
-23.77854008     0
-23.77454008     250
-23.75869264     500
-23.66770161     750
-23.36454587     1000
-22.88127549     1250
-22.33014124     1500
-21.75796181     1750
-21.16434051     2000
-20.56341229     2250
-19.9756584      2500
-19.41650125     2750
-18.89853025     3000
-18.41972451     3250
-17.96163466     3500
-17.5144693      3750
-17.06730609     4000
-16.62079792     4250
-16.18571815     4500
-15.76315559     4750
-15.33955645     5000
-14.89750351     5250
-14.43464597     5500
-13.9720746      5750
-13.525          6000
-12.7125         6250
-12.1125         6500
-11.5125         6750
-10.85416667     7000
-10.475          7250
-10.14166667     7500
-9.566666667     8000
-8.858333333     8500
-7.991666667     9000
-7.245833333     9500
-6.5625          10000
-5.654166667     10500
-5.016666667     11000
-4.279166667     11500
-3.616666667     12000
-3.233333333     12500
-2.745833333     13000
-2.345833333     13500
-1.970833333     14000
-1.591666667     14500
-1.133333333     15000
-0.654166667     15500
0               16000
0.966666667     15500
1.416666667     15000
1.804166667     14500
2.145833333     14000
2.579166667     13500
3.216666667     13000
3.683333333     12500
4.2125          12000
4.816666667     11500
5.591666667     11000
6.291666667     10500
7.1             10000
7.916666667     9500
8.608333333     9000
9.466666667     8500
10.44583333     8000
11.40416667     7500
12.0125         7250
12.78333333     7000
13.53333333     6750
14.5            6500
15.9125         6250
17.13333333     6000
17.80394523     5750
18.49780228     5500
19.19208859     5250
19.85516801     5000
20.49056671     4750
21.12441055     4500
21.77703021     4250
22.44679246     4000
23.11753728     3750
23.78828532     3500
24.47542009     3250
25.19362871     3000
25.9705852      2750
26.80932093     2500
27.69095176     2250
28.5923441      2000
29.48277605     1750
30.34104519     1500
31.16774657     1250
31.89265214     1000
32.34738574     750
32.48387229     500
32.50764346     250
32.51364346     0
