%Golf deelrapport 8 voor T = 10 jaar.    
%tijd, dag    SOBEK-golf
-18.2500  65.41584
-18.2083  64.91103
-18.1667  63.4277
-18.1250  61.59289
-18.0833  59.22805
-18.0417  56.41789
-18.0000  52.60029
-17.9583  50.50475
-17.9167  50.26305
-17.8750  49.81539
-17.8333  48.66602
-17.7917  47.51039
-17.7500  47.04618
-17.7083  48.59407
-17.6667  51.34198
-17.6250  54.76152
-17.5833  58.02198
-17.5417  59.73114
-17.5000  60.17442
-17.4583  59.98778
-17.4167  59.09431
-17.3750  58.72585
-17.3333  58.4365
-17.2917  58.64742
-17.2500  59.56268
-17.2083  61.47499
-17.1667  64.77949
-17.1250  68.34626
-17.0833  69.84024
-17.0417  69.30785
-17.0000  73.67604
-16.9583  74.38428
-16.9167  65.31367
-16.8750  67.85706
-16.8333  62.10464
-16.7917  62.06829
-16.7500  60.79691
-16.7083  61.3979
-16.6667  62.4866
-16.6250  62.678
-16.5833  63.25713
-16.5417  63.57044
-16.5000  63.94598
-16.4583  64.18565
-16.4167  64.42918
-16.3750  64.60793
-16.3333  65.78364
-16.2917  67.15455
-16.2500  67.01277
-16.2083  66.21583
-16.1667  66.16427
-16.1250  65.92743
-16.0833  65.78427
-16.0417  65.69476
-16.0000  65.60492
-15.9583  65.58439
-15.9167  65.5202
-15.8750  65.5189
-15.8333  65.48784
-15.7917  65.47305
-15.7500  65.46764
-15.7083  65.44723
-15.6667  65.44931
-15.6250  65.43594
-15.5833  65.43472
-15.5417  65.4295
-15.5000  65.42613
-15.4583  65.42426
-15.4167  65.42167
-15.3750  65.42034
-15.3333  65.41896
-15.2917  65.41799
-15.2500  65.41703
-15.2083  65.41662
-15.1667  65.41575
-15.1250  65.41573
-15.0833  65.41499
-15.0417  65.41509
-15.0000  65.41458
-14.9583  65.41462
-14.9167  65.41435
-14.8750  65.41432
-14.8333  65.41422
-14.7917  65.41412
-14.7500  65.41409
-14.7083  65.41402
-14.6667  65.41402
-14.6250  65.41399
-14.5833  65.41394
-14.5417  65.41396
-14.5000  65.41393
-14.4583  65.41393
-14.4167  65.41391
-14.3750  65.41391
-14.3333  65.4139
-14.2917  65.41389
-14.2500  65.41391
-14.2083  65.41389
-14.1667  65.41391
-14.1250  65.41388
-14.0833  65.4139
-14.0417  65.41389
-14.0000  65.41389
-13.9583  65.41389
-13.9167  65.4139
-13.8750  65.41388
-13.8333  65.41391
-13.7917  65.41387
-13.7500  65.4139
-13.7083  65.41388
