%statistische gegevens Veluwe Randmeer afkomstig uit SPIJ [Vlag et al, 2005]
%
% Door: Chris Geerse
% Datum 28 sep 2007
% Bestemd voor bepalen trapeziumvormige golven Veluwe Randmeer
%
% [Vlag et al, 2005] Seizoensgebonden Peilbeheer IJsselmeergebied: Veiligheid. 
% D.P. Vlag, C.P.M. Geerse, R. Westphal. RIZA-werkdocument 2005.090X. RIZA Lelystad, december 2005.
%
%
%m, m+NAP      OF, 1/whjaar        OD, dag/whjaar
-0.40          9.976906903         182.13
-0.39          9.027371487         182.13
-0.38          8.168206514         182.13
-0.37          7.390811129         182.13
-0.36          6.68740305          182.13
-0.35          6.050940657         182.13
-0.34          5.475052507         182.13
-0.33          4.953973548         182.13
-0.32          4.482487407         181.95
-0.31          4.05587417          176.09
-0.30          3.669863134         161.42
-0.29          3.320590052         143.51
-0.28          3.004558451         113.31
-0.27          2.718604629         86.43
-0.26          2.459865984         79.219
-0.25          2.225752355         74.301
-0.24          2.0139201           68.932
-0.23          1.822248625         64.641
-0.22          1.648819162         60.213
-0.21          1.491895558         56.235
-0.20          1.349906895         51.748
-0.19          1.221431766         47.869
-0.18          1.105184041         44.655
-0.17          1                   40.854
-0.16          0.904826674         37.111
-0.15          0.818711309         33.584
-0.14          0.740791831         30.214
-0.13          0.670288208         27.353
-0.12          0.60649465          24.454
-0.11          0.548772536         21.632
-0.10          0.496544029         18.438
-0.09          0.449286282         15.068
-0.08          0.406526212         10.091
-0.07          0.36783576          5.8782
-0.06          0.332827607         5.1508
-0.05          0.301151297         4.572
-0.04          0.272489726         4.061
-0.03          0.246555972         3.6093
-0.02          0.22309042          3.2099
-0.01          0.201858163         2.8562
0.00           0.18264665          2.5428
0.01           0.165263561         2.265
0.02           0.149534878         2.0185
0.03           0.135303146         1.7996
0.04           0.122425896         1.6051
0.05           0.110774216         1.4323
0.06           0.100231465         1.2785
0.07           0.090692104         1.1417
0.08           0.082060634         1.0199
0.09           0.074250651         0.91135
0.10           0.067183969         0.81464
0.11           0.060789848         0.72841
0.12           0.055004276         0.6515
0.13           0.049769336         0.58288
0.14           0.045032622         0.52163
0.15           0.040746718         0.46693
0.16           0.036868717         0.41808
0.17           0.033359799         0.37442
0.18           0.030184836         0.3354
0.19           0.027312045         0.30052
0.20           0.024712666         0.26932
0.21           0.02236068          0.24141
0.22           0.02023254          0.21643
0.23           0.018306941         0.19408
0.24           0.016564609         0.17407
0.25           0.0149881           0.15615
0.26           0.013561633         0.14009
0.27           0.012270927         0.12571
0.28           0.011103062         0.11283
0.29           0.010046347         0.10128
0.30           0.009090202         0.090925
0.31           0.008225058         0.081642
0.32           0.007442252         0.073318
0.33           0.006733948         0.065851
0.34           0.006093056         0.059153
0.35           0.005513159         0.053143
0.36           0.004988453         0.04775
0.37           0.004513686         0.042909
0.38           0.004084103         0.038564
0.39           0.003695406         0.034663
0.40           0.003343702         0.03116
0.41           0.00302547          0.028014
0.42           0.002737526         0.025188
0.43           0.002476987         0.02265
0.44           0.002241244         0.02037
0.45           0.002027937         0.018321
0.46           0.001834932         0.016479
0.47           0.001660295         0.014824
0.48           0.001502279         0.013337
0.49           0.001359302         0.012
0.50           0.001229933         0.010798
0.51           0.001112876         0.0097169
0.52           0.00100696          0.0087449
0.53           0.000911124         0.0078708
0.54           0.00082441          0.0070846
0.55           0.000745948         0.0063775
0.56           0.000674953         0.0057414
0.57           0.000610716         0.0051691
0.58           0.000552592         0.0046541
0.59           0.0005              0.0041908
0.60           0.000452413         0.0037739
0.61           0.000409356         0.0033986
0.62           0.000370396         0.0030609
0.63           0.000335144         0.0027569
0.64           0.000303247         0.0024833
0.65           0.000274386         0.0022369
0.66           0.000248272         0.0020151
0.67           0.000224643         0.0018154
0.68           0.000203263         0.0016356
0.69           0.000183918         0.0014737
0.70           0.000166414         0.0013279
0.71           0.000150576         0.0011966
0.72           0.000136245         0.0010783
0.73           0.000123278         0.00097176
0.74           0.000111545         0.00087579
0.75           0.000100929         0.00078934
0.76           9.13233E-05         0.00071146
0.77           8.26318E-05         0.00064129
0.78           7.47674E-05         0.00057807
0.79           6.76516E-05         0.0005211
0.80           6.1213E-05          0.00046977
0.81           5.53871E-05         0.00042352
0.82           5.01157E-05         0.00038183
0.83           4.53461E-05         0.00034426
0.84           4.10303E-05         0.0003104
0.85           3.71253E-05         0.00027988
0.86           3.3592E-05          0.00025238
0.87           3.03949E-05         0.00022758
0.88           2.75021E-05         0.00020523
0.89           2.48847E-05         0.00018508
0.90           2.25163E-05         0.00016691
0.91           2.03734E-05         0.00015053
0.92           1.84344E-05         0.00013577
0.93           1.66799E-05         0.00012245
0.94           1.50924E-05         0.00011045
0.95           1.3656E-05          0.00009962
0.96           1.23563E-05         0.00008986
0.97           1.11803E-05         0.00008106
0.98           1.01163E-05         0.00007312
0.99           9.15347E-06         0.00006596
1.00           8.2823E-06          0.0000595
