% Data dagdebieten Vecht (representatief geacht voor Dalfsen)
% Door:	Chris Geerse
% Datum: 6 februari 2006
%
% Perioden:
% 01-01-1960 t/m 31-12-1983
% 01-10-1993 t/m 31-03-1994
% 01-10-1998 t/m 31-03-1999
% 01-10-2000 t/m 31-03-2001
%
% Herkomst data van 1-1-1960 t/m 31-12-1983 uit een Q-H relatie, zie [Chbab, 1995] voor informatie.
% [Chbab, 2005]: Frequentieanalyse Vechtafvoer te Vechterweerd. E.H. Chbab. 
% RIZA-Werkdocument 95.131x. RIZA Lelystad, september 1995.
%
% Van de drie daaropvolgende perioden is de herkomst onduidelijk.
% De kwaliteit van deze metingen is twijfelachtig:
% a. deze perioden bevatten geen erg lage afvoeren meer;
% b. het jaar 2000 bevat alleen afvoeren circa 125 m3/s (laat jaar 2000 bij voorkeur weg in analyses)
%
%jaar  	  maand 	  dag	afvoer
1960  	   01   	   01	10
1960  	   01   	   02	8
1960  	   01   	   03	9
1960  	   01   	   04	8
1960  	   01   	   05	9
1960  	   01   	   06	10
1960  	   01   	   07	10
1960  	   01   	   08	12
1960  	   01   	   09	8
1960  	   01   	   10	8
1960  	   01   	   11	7
1960  	   01   	   12	6
1960  	   01   	   13	7
1960  	   01   	   14	8
1960  	   01   	   15	2
1960  	   01   	   16	6
1960  	   01   	   17	7
1960  	   01   	   18	7
1960  	   01   	   19	7
1960  	   01   	   20	7
1960  	   01   	   21	24
1960  	   01   	   22	10
1960  	   01   	   23	12
1960  	   01   	   24	16
1960  	   01   	   25	13
1960  	   01   	   26	20
1960  	   01   	   27	20
1960  	   01   	   28	25
1960  	   01   	   29	22
1960  	   01   	   30	31
1960  	   01   	   31	36
1960  	   02   	   01	36
1960  	   02   	   02	36
1960  	   02   	   03	30
1960  	   02   	   04	31
1960  	   02   	   05	35
1960  	   02   	   06	32
1960  	   02   	   07	30
1960  	   02   	   08	23
1960  	   02   	   09	16
1960  	   02   	   10	16
1960  	   02   	   11	15
1960  	   02   	   12	16
1960  	   02   	   13	27
1960  	   02   	   14	25
1960  	   02   	   15	17
1960  	   02   	   16	21
1960  	   02   	   17	30
1960  	   02   	   18	32
1960  	   02   	   19	31
1960  	   02   	   20	28
1960  	   02   	   21	28
1960  	   02   	   22	27
1960  	   02   	   23	27
1960  	   02   	   24	29
1960  	   02   	   25	38
1960  	   02   	   26	38
1960  	   02   	   27	30
1960  	   02   	   28	29
1960  	   02   	   29	31
1960  	   03   	   01	30
1960  	   03   	   02	31
1960  	   03   	   03	30
1960  	   03   	   04	30
1960  	   03   	   05	36
1960  	   03   	   06	50
1960  	   03   	   07	34
1960  	   03   	   08	37
1960  	   03   	   09	28
1960  	   03   	   10	21
1960  	   03   	   11	15
1960  	   03   	   12	24
1960  	   03   	   13	19
1960  	   03   	   14	19
1960  	   03   	   15	16
1960  	   03   	   16	10
1960  	   03   	   17	10
