%Afkomstig uit HR2006 = HR2001 (bestand "afvoergolvenLith_uitgebreid_HR2006.mdb")
%
%Door: Chris Geerse
%Datum: 21 april 2009
%
% NB: golf met piek 1501.322 blijkt niet goed in "afvoergolvenLith_uitgebreid_HR2006.mdb"
% te zitten: ook de piekwaarde 1501.3221 komt daarbij voor.
% Matthijs Duits heeft gecontroleerd dat dit probleem in Hydra-B geen fout tot gevolg heeft;
% vermoedelijk valt de 4-de decimaal weg door het rekenen met enkele preciesie.
% Hieronder is 1501.3221 vervangen door 1501.322.
%
%PIEKAFVOER	TIJD	AFVOER
0	-0.004	-1
0	0	0
0	0.006	-1
50	-0.0589	0
50	-0.0419	25
50	0	50
50	0.0581	25
50	0.141	0
100	-0.1911	0
100	-0.174	25
100	-0.1322	50
100	-0.0709	75
100	0	100
100	0.1064	75
100	0.1983	50
100	0.2611	25
100	0.2866	0
150	-0.349919391	0
150	-0.33287908	25
150	-0.291008205	50
150	-0.229739361	75
150	-0.158833407	100
150	-0.081621301	125
150	0	150
150	0.122431952	125
150	0.238250111	100
150	0.344609041	75
150	0.436512308	50
150	0.49931862	25
150	0.524879087	0
200	-0.523036736	0
200	-0.505996425	25
200	-0.46412555	50
200	-0.402856706	75
200	-0.331950752	100
200	-0.254738646	125
200	-0.173117345	150
200	-0.089333318	175
200	0	200
200	0.133999978	175
200	0.259676017	150
200	0.38210797	125
200	0.497926129	100
200	0.604285059	75
200	0.696188326	50
200	0.758994638	25
200	0.784555105	0
250	-0.728905263	0
250	-0.711864952	25
250	-0.669994078	50
250	-0.608725233	75
250	-0.537819279	100
250	-0.460607173	125
250	-0.378985872	150
250	-0.295201846	175
250	-0.205868527	200
250	-0.107500057	225
250	0	250
250	0.161250085	225
250	0.308802791	200
250	0.442802768	175
250	0.568478808	150
250	0.69091076	125
250	0.806728919	100
250	0.913087849	75
250	1.004991116	50
250	1.067797428	25
250	1.093357895	0
300	-0.95815514	0
300	-0.941114829	25
300	-0.899243954	50
300	-0.837975109	75
300	-0.767069156	100
300	-0.68985705	125
300	-0.608235748	150
300	-0.524451722	175
300	-0.435118403	200
300	-0.336749933	225
300	-0.229249876	250
300	-0.116131987	275
300	0	300
300	0.17419798	275
300	0.343874814	250
300	0.505124899	225
300	0.652677605	200
300	0.786677583	175
300	0.912353623	150
300	1.034785575	125
300	1.150603734	100
300	1.256962664	75
300	1.348865931	50
300	1.411672243	25
300	1.43723271	0
350	-1.20310101	0
350	-1.186060699	25
350	-1.144189824	50
350	-1.082920979	75
350	-1.012015026	100
350	-0.93480292	125
350	-0.853181618	150
350	-0.769397592	175
350	-0.680064273	200
350	-0.581695803	225
350	-0.474195746	250
350	-0.361077857	275
350	-0.24494587	300
350	-0.124704102	325
350	0	350
350	0.187056153	325
350	0.367418805	300
350	0.541616785	275
350	0.711293619	250
350	0.872543704	225
350	1.02009641	200
350	1.154096388	175
350	1.279772428	150
350	1.40220438	125
350	1.518022539	100
350	1.624381469	75
350	1.716284736	50
350	1.779091048	25
350	1.804651515	0
400	-1.472673124	0
400	-1.455632813	25
400	-1.413761938	50
400	-1.352493093	75
400	-1.28158714	100
400	-1.204375034	125
400	-1.122753732	150
400	-1.038969706	175
400	-0.949636387	200
400	-0.851267917	225
400	-0.74376786	250
400	-0.630649971	275
400	-0.514517984	300
400	-0.394276216	325
400	-0.269572114	350
400	-0.138094056	375
400	0	400
400	0.207141084	375
400	0.404358171	350
400	0.591414324	325
400	0.771776976	300
400	0.945974956	275
400	1.11565179	250
400	1.276901875	225
400	1.424454581	200
400	1.558454559	175
400	1.684130598	150
400	1.806562551	125
400	1.92238071	100
400	2.02873964	75
400	2.120642907	50
400	2.183449219	25
400	2.209009686	0
450	-1.76071697	0
450	-1.743676659	25
450	-1.701805784	50
450	-1.64053694	75
450	-1.569630986	100
450	-1.49241888	125
450	-1.410797579	150
450	-1.327013552	175
450	-1.237680234	200
450	-1.139311763	225
450	-1.031811707	250
450	-0.918693817	275
450	-0.802561831	300
450	-0.682320063	325
450	-0.557615961	350
450	-0.426137903	375
450	-0.288043847	400
450	-0.146942983	425
450	0	450
450	0.220414474	425
450	0.43206577	400
450	0.639206854	375
450	0.836423941	350
450	1.023480094	325
450	1.203842746	300
450	1.378040726	275
450	1.54771756	250
450	1.708967645	225
450	1.856520351	200
450	1.990520329	175
450	2.116196368	150
450	2.238628321	125
450	2.354446479	100
450	2.46080541	75
450	2.528337782	50
450	2.588337782	25
450	2.648337782	0
500	-2.054985313	0
500	-2.037945002	25
500	-1.996074127	50
500	-1.934805283	75
500	-1.863899329	100
500	-1.786687223	125
500	-1.705065922	150
500	-1.621281895	175
500	-1.531948577	200
500	-1.433580106	225
500	-1.32608005	250
500	-1.212962161	275
500	-1.096830174	300
500	-0.976588406	325
500	-0.851884304	350
500	-0.720406246	375
500	-0.58231219	400
500	-0.441211326	425
500	-0.294268343	450
500	-0.144810979	475
500	0	500
500	0.217216468	475
500	0.441402515	450
500	0.661816988	425
500	0.873468285	400
500	1.080609369	375
500	1.277826456	350
500	1.464882609	325
500	1.64524526	300
500	1.819443241	275
500	1.989120075	250
500	2.15037016	225
500	2.297922866	200
500	2.431922843	175
500	2.557598883	150
500	2.680030835	125
500	2.795848994	100
500	2.902207924	75
500	2.969740297	50
500	3.029740297	25
500	3.089740297	0
600	-2.666709978	0
600	-2.649669667	25
600	-2.607798792	50
600	-2.546529948	75
600	-2.475623994	100
600	-2.398411888	125
600	-2.316790587	150
600	-2.23300656	175
600	-2.143673242	200
600	-2.045304771	225
600	-1.937804715	250
600	-1.824686825	275
600	-1.708554838	300
600	-1.588313071	325
600	-1.463608969	350
600	-1.332130911	375
600	-1.194036855	400
600	-1.052935991	425
600	-0.905993008	450
600	-0.756535644	475
600	-0.611724665	500
600	-0.466599795	525
600	-0.309772801	550
600	-0.148722809	575
600	0	600
600	0.223084213	575
600	0.464659202	550
600	0.699899693	525
600	0.917586997	500
600	1.134803466	475
600	1.358989512	450
600	1.579403986	425
600	1.791055282	400
600	1.998196366	375
600	2.195413453	350
600	2.382469606	325
600	2.562832258	300
600	2.737030238	275
600	2.906707072	250
600	3.067957157	225
600	3.215509863	200
600	3.34950984	175
600	3.47518588	150
600	3.597617832	125
600	3.713435991	100
600	3.819794921	75
600	3.887327294	50
600	3.947327294	25
600	4.007327294	0
700	-3.253030178	0
700	-3.235989867	25
700	-3.194118992	50
700	-3.132850148	75
700	-3.061944194	100
700	-2.984732088	125
700	-2.903110787	150
700	-2.81932676	175
700	-2.729993442	200
700	-2.631624971	225
700	-2.524124915	250
700	-2.411007025	275
700	-2.294875039	300
700	-2.174633271	325
700	-2.049929169	350
700	-1.918451111	375
700	-1.780357055	400
700	-1.639256191	425
700	-1.492313208	450
700	-1.342855844	475
700	-1.198044865	500
700	-1.052919995	525
700	-0.896093001	550
700	-0.735043009	575
700	-0.5863202	600
700	-0.443678615	625
700	-0.300499398	650
700	-0.155064526	675
700	0	700
700	0.23259679	675
700	0.450749098	650
700	0.665517922	625
700	0.8794803	600
700	1.102564513	575
700	1.344139502	550
700	1.579379993	525
700	1.797067297	500
700	2.014283766	475
700	2.238469812	450
700	2.458884286	425
700	2.670535582	400
700	2.877676666	375
700	3.074893753	350
700	3.261949906	325
700	3.442312558	300
700	3.616510538	275
700	3.786187372	250
700	3.947437457	225
700	4.094990163	200
700	4.228990141	175
700	4.35466618	150
700	4.477098133	125
700	4.592916291	100
700	4.699275221	75
700	4.766807594	50
700	4.826807594	25
700	4.886807594	0
800	-3.893490873	0
800	-3.876450562	25
800	-3.834579687	50
800	-3.773310842	75
800	-3.702404889	100
800	-3.625192783	125
800	-3.543571482	150
800	-3.459787455	175
800	-3.370454137	200
800	-3.272085666	225
800	-3.164585609	250
800	-3.05146772	275
800	-2.935335733	300
800	-2.815093965	325
800	-2.690389863	350
800	-2.558911805	375
800	-2.420817749	400
800	-2.279716885	425
800	-2.132773903	450
800	-1.983316539	475
800	-1.83850556	500
800	-1.69338069	525
800	-1.536553696	550
800	-1.375503703	575
800	-1.226780895	600
800	-1.08413931	625
800	-0.940960093	650
800	-0.795525221	675
800	-0.640460695	700
800	-0.478851392	725
800	-0.318064176	750
800	-0.159595197	775
800	0	800
800	0.239392796	775
800	0.477096265	750
800	0.718277088	725
800	0.960691042	700
800	1.193287832	675
800	1.41144014	650
800	1.626208964	625
800	1.840171342	600
800	2.063255555	575
800	2.304830544	550
800	2.540071035	525
800	2.757758339	500
800	2.974974808	475
800	3.199160854	450
800	3.419575328	425
800	3.631226624	400
800	3.838367708	375
800	4.035584795	350
800	4.222640948	325
800	4.4030036	300
800	4.57720158	275
800	4.746878414	250
800	4.908128499	225
800	5.055681205	200
800	5.189681183	175
800	5.315357222	150
800	5.437789174	125
800	5.553607333	100
800	5.659966263	75
800	5.727498636	50
800	5.787498636	25
800	5.847498636	0
900	-4.581669431	0
900	-4.56462912	25
900	-4.522758245	50
900	-4.4614894	75
900	-4.390583447	100
900	-4.313371341	125
900	-4.23175004	150
900	-4.147966013	175
900	-4.058632695	200
900	-3.960264224	225
900	-3.852764167	250
900	-3.739646278	275
900	-3.623514291	300
900	-3.503272523	325
900	-3.378568421	350
900	-3.247090363	375
900	-3.108996307	400
900	-2.967895443	425
900	-2.820952461	450
900	-2.671495096	475
900	-2.526684118	500
900	-2.381559248	525
900	-2.224732254	550
900	-2.063682261	575
900	-1.914959453	600
900	-1.772317867	625
900	-1.629138651	650
900	-1.483703779	675
900	-1.328639253	700
900	-1.16702995	725
900	-1.006242734	750
900	-0.847773755	775
900	-0.688178558	800
900	-0.531602923	825
900	-0.36110039	850
900	-0.172054401	875
900	0	900
900	0.258081602	875
900	0.541650585	850
900	0.797404385	825
900	1.032267837	800
900	1.271660633	775
900	1.509364101	750
900	1.750544925	725
900	1.992958879	700
900	2.225555669	675
900	2.443707977	650
900	2.658476801	625
900	2.872439179	600
900	3.095523392	575
900	3.337098381	550
900	3.572338872	525
900	3.790026176	500
900	4.007242645	475
900	4.231428691	450
900	4.451843165	425
900	4.663494461	400
900	4.870635545	375
900	5.067852632	350
900	5.254908785	325
900	5.435271437	300
900	5.609469417	275
900	5.779146251	250
900	5.940396336	225
900	6.087949042	200
900	6.221949019	175
900	6.347625059	150
900	6.470057011	125
900	6.58587517	100
900	6.6922341	75
900	6.759766473	50
900	6.819766473	25
900	6.879766473	0
1000	-5.321144975	0
1000	-5.304104664	25
1000	-5.262233789	50
1000	-5.200964944	75
1000	-5.130058991	100
1000	-5.052846885	125
1000	-4.971225584	150
1000	-4.887441557	175
1000	-4.798108239	200
1000	-4.699739768	225
1000	-4.592239711	250
1000	-4.479121822	275
1000	-4.362989835	300
1000	-4.242748067	325
1000	-4.118043965	350
1000	-3.986565907	375
1000	-3.848471851	400
1000	-3.707370987	425
1000	-3.560428005	450
1000	-3.41097064	475
1000	-3.266159662	500
1000	-3.121034792	525
1000	-2.964207798	550
1000	-2.803157805	575
1000	-2.654434997	600
1000	-2.511793411	625
1000	-2.368614195	650
1000	-2.223179323	675
1000	-2.068114797	700
1000	-1.906505494	725
1000	-1.745718278	750
1000	-1.587249299	775
1000	-1.427654102	800
1000	-1.271078467	825
1000	-1.100575934	850
1000	-0.911529945	875
1000	-0.739475544	900
1000	-0.569997695	925
1000	-0.369495671	950
1000	-0.171771377	975
1000	0	1000
1000	0.257657065	975
1000	0.554243506	950
1000	0.854996543	925
1000	1.109213316	900
1000	1.367294918	875
1000	1.650863901	850
1000	1.906617701	825
1000	2.141481153	800
1000	2.380873949	775
1000	2.618577417	750
1000	2.859758241	725
1000	3.102172195	700
1000	3.334768985	675
1000	3.552921293	650
1000	3.767690117	625
1000	3.981652495	600
1000	4.204736708	575
1000	4.446311697	550
1000	4.681552188	525
1000	4.899239492	500
1000	5.116455961	475
1000	5.340642007	450
1000	5.561056481	425
1000	5.772707777	400
1000	5.979848861	375
1000	6.177065948	350
1000	6.364122101	325
1000	6.544484753	300
1000	6.718682733	275
1000	6.888359567	250
1000	7.049609652	225
1000	7.197162358	200
1000	7.331162335	175
1000	7.456838375	150
1000	7.579270327	125
1000	7.695088486	100
1000	7.801447416	75
1000	7.868979789	50
1000	7.928979789	25
1000	7.988979789	0
1100	-6.072731391	0
1100	-6.05569108	25
1100	-6.013820205	50
1100	-5.95255136	75
1100	-5.881645407	100
1100	-5.804433301	125
1100	-5.722811999	150
1100	-5.639027973	175
1100	-5.549694654	200
1100	-5.451326184	225
1100	-5.343826127	250
1100	-5.230708238	275
1100	-5.114576251	300
1100	-4.994334483	325
1100	-4.869630381	350
1100	-4.738152323	375
1100	-4.600058267	400
1100	-4.458957403	425
1100	-4.312014421	450
1100	-4.162557056	475
1100	-4.017746077	500
1100	-3.872621208	525
1100	-3.715794214	550
1100	-3.554744221	575
1100	-3.406021413	600
1100	-3.263379827	625
1100	-3.120200611	650
1100	-2.974765739	675
1100	-2.819701213	700
1100	-2.65809191	725
1100	-2.497304694	750
1100	-2.338835715	775
1100	-2.179240518	800
1100	-2.022664883	825
1100	-1.85216235	850
1100	-1.663116361	875
1100	-1.49106196	900
1100	-1.321584111	925
1100	-1.121082087	950
1100	-0.923357793	975
1100	-0.751586416	1000
1100	-0.573405465	1025
1100	-0.378894772	1050
1100	-0.186644233	1075
1100	0	1100
1100	0.279966349	1075
1100	0.568342158	1050
1100	0.860108198	1025
1100	1.127379624	1000
1100	1.385036689	975
1100	1.68162313	950
1100	1.982376166	925
1100	2.23659294	900
1100	2.494674542	875
1100	2.778243525	850
1100	3.033997325	825
1100	3.268860777	800
1100	3.508253573	775
1100	3.745957041	750
1100	3.987137865	725
1100	4.229551819	700
1100	4.462148609	675
1100	4.680300917	650
1100	4.895069741	625
1100	5.109032119	600
1100	5.332116332	575
1100	5.573691321	550
1100	5.808931812	525
1100	6.026619116	500
1100	6.243835585	475
1100	6.468021631	450
1100	6.688436105	425
1100	6.900087401	400
1100	7.107228485	375
1100	7.304445572	350
1100	7.491501725	325
1100	7.671864377	300
1100	7.846062357	275
1100	8.015739191	250
1100	8.176989276	225
1100	8.324541982	200
1100	8.458541959	175
1100	8.584217999	150
1100	8.706649951	125
1100	8.82246811	100
1100	8.92882704	75
1100	8.996359413	50
1100	9.056359413	25
1100	9.116359413	0
1200	-6.902157858	0
1200	-6.885117547	25
1200	-6.843246672	50
1200	-6.781977827	75
1200	-6.711071874	100
1200	-6.633859768	125
1200	-6.552238466	150
1200	-6.46845444	175
1200	-6.379121121	200
1200	-6.280752651	225
1200	-6.173252594	250
1200	-6.060134705	275
1200	-5.944002718	300
1200	-5.82376095	325
1200	-5.699056848	350
1200	-5.56757879	375
1200	-5.429484734	400
1200	-5.28838387	425
1200	-5.141440887	450
1200	-4.991983523	475
1200	-4.847172544	500
1200	-4.702047675	525
1200	-4.545220681	550
1200	-4.384170688	575
1200	-4.23544788	600
1200	-4.092806294	625
1200	-3.949627078	650
1200	-3.804192206	675
1200	-3.64912768	700
1200	-3.487518377	725
1200	-3.326731161	750
1200	-3.168262182	775
1200	-3.008666985	800
1200	-2.85209135	825
1200	-2.681588817	850
1200	-2.492542828	875
1200	-2.320488427	900
1200	-2.151010578	925
1200	-1.950508554	950
1200	-1.75278426	975
1200	-1.581012883	1000
1200	-1.402831932	1025
1200	-1.208321239	1050
1200	-1.0160707	1075
1200	-0.829426467	1100
1200	-0.629098708	1125
1200	-0.415650221	1150
1200	-0.203173762	1175
1200	0	1200
1200	0.304760643	1175
1200	0.623475331	1150
1200	0.943648062	1125
1200	1.2441397	1100
1200	1.524106049	1075
1200	1.812481859	1050
1200	2.104247898	1025
1200	2.371519324	1000
1200	2.62917639	975
1200	2.925762831	950
1200	3.226515867	925
1200	3.48073264	900
1200	3.738814242	875
1200	4.022383225	850
1200	4.278137025	825
1200	4.513000477	800
1200	4.752393273	775
1200	4.990096742	750
1200	5.231277565	725
1200	5.473691519	700
1200	5.706288309	675
1200	5.924440617	650
1200	6.139209442	625
1200	6.353171819	600
1200	6.576256032	575
1200	6.817831021	550
1200	7.053071512	525
1200	7.270758817	500
1200	7.487975285	475
1200	7.712161331	450
1200	7.932575805	425
1200	8.144227101	400
1200	8.351368185	375
1200	8.548585272	350
1200	8.735641426	325
1200	8.916004077	300
1200	9.090202057	275
1200	9.259878892	250
1200	9.421128976	225
1200	9.568681682	200
1200	9.70268166	175
1200	9.8283577	150
1200	9.950789652	125
1200	10.06660781	100
1200	10.17296674	75
1200	10.24049911	50
1200	10.30049911	25
1200	10.36049911	0
1300	-7.709395648	0
1300	-7.692355337	25
1300	-7.650484462	50
1300	-7.589215617	75
