%Afkomstig uit HR2006 = HR2001
%Door: Chris Geerse
%Datum: 21 april 2009
%
%PIEKAFVOER	TIJD	AFVOER
0	-0.004	-1
0	0	0
0	0.006	-1
250	-0.004	0
250	0	250
250	0.006	0
500	-0.0198	0
500	-0.0158	250
500	0	500
500	0.024	250
500	0.03	0
750	-0.111	0
750	-0.107	250
750	-0.091	500
750	0	750
750	0.136	500
750	0.16	250
750	0.166	0
1000	-0.414	0
1000	-0.41	250
1000	-0.394	500
1000	-0.303	750
1000	0	1000
1000	0.455	750
1000	0.591	500
1000	0.615	250
1000	0.621	0
1250	-0.897	0
1250	-0.893	250
1250	-0.877	500
1250	-0.786	750
1250	-0.483	1000
1250	0	1250
1250	0.725	1000
1250	1.18	750
1250	1.316	500
1250	1.34	250
1250	1.346	0
1500	-1.448	0
1500	-1.444	250
1500	-1.429	500
1500	-1.338	750
1500	-1.034	1000
1500	-0.551	1250
1500	0	1500
1500	0.827	1250
1500	1.552	1000
1500	2.006	750
1500	2.143	500
1500	2.167	250
1500	2.173	0
1750	-2.021	0
1750	-2.017	250
1750	-2.001	500
1750	-1.91	750
1750	-1.607	1000
1750	-1.123	1250
1750	-0.572	1500
1750	0	1750
1750	0.858	1500
1750	1.685	1250
1750	2.41	1000
1750	2.865	750
1750	3.001	500
1750	3.025	250
1750	3.031	0
2000	-2.614	0
2000	-2.61	250
2000	-2.594	500
2000	-2.503	750
2000	-2.2	1000
2000	-1.717	1250
2000	-1.166	1500
2000	-0.594	1750
2000	0	2000
2000	0.89	1750
2000	1.749	1500
2000	2.575	1250
2000	3.3	1000
2000	3.755	750
2000	3.892	500
2000	3.915	250
2000	3.921	0
2250	-3.215	0
2250	-3.211	250
2250	-3.195	500
2250	-3.104	750
2250	-2.801	1000
2250	-2.318	1250
2250	-1.767	1500
2250	-1.195	1750
2250	-0.601	2000
2250	0	2250
2250	0.901	2000
2250	1.792	1750
2250	2.65	1500
2250	3.477	1250
2250	4.202	1000
2250	4.656	750
2250	4.793	500
2250	4.817	250
2250	4.823	0
2500	-3.803	0
2500	-3.799	250
2500	-3.783	500
2500	-3.692	750
2500	-3.389	1000
2500	-2.906	1250
2500	-2.354	1500
2500	-1.782	1750
2500	-1.189	2000
2500	-0.588	2250
2500	0	2500
2500	0.882	2250
2500	1.783	2000
2500	2.673	1750
2500	3.532	1500
2500	4.358	1250
2500	5.083	1000
2500	5.538	750
2500	5.675	500
2500	5.698	250
2500	5.704	0
2750	-4.362	0
2750	-4.358	250
2750	-4.342	500
2750	-4.251	750
2750	-3.948	1000
2750	-3.465	1250
2750	-2.914	1500
2750	-2.341	1750
2750	-1.748	2000
2750	-1.147	2250
2750	-0.559	2500
2750	0	2750
2750	0.839	2500
2750	1.72	2250
2750	2.622	2000
2750	3.512	1750
2750	4.37	1500
2750	5.197	1250
2750	5.922	1000
2750	6.377	750
2750	6.513	500
2750	6.537	250
2750	6.543	0
3000	-4.88	0
3000	-4.876	250
3000	-4.86	500
3000	-4.769	750
3000	-4.466	1000
3000	-3.983	1250
3000	-3.432	1500
3000	-2.859	1750
3000	-2.266	2000
3000	-1.665	2250
3000	-1.077	2500
3000	-0.518	2750
3000	0	3000
3000	0.777	2750
3000	1.616	2500
3000	2.497	2250
3000	3.399	2000
3000	4.289	1750
3000	5.147	1500
3000	5.974	1250
3000	6.699	1000
3000	7.154	750
3000	7.29	500
3000	7.314	250
3000	7.32	0
4000	-6.711	0
4000	-6.707	250
4000	-6.691	500
4000	-6.6	750
4000	-6.297	1000
4000	-5.814	1250
4000	-5.263	1500
4000	-4.691	1750
4000	-4.097	2000
4000	-3.496	2250
4000	-2.908	2500
4000	-2.349	2750
4000	-1.831	3000
4000	-1.352	3250
4000	-0.894	3500
4000	-0.447	3750
4000	0	4000
4000	0.671	3750
4000	1.341	3500
4000	2.029	3250
4000	2.747	3000
4000	3.524	2750
4000	4.363	2500
4000	5.244	2250
4000	6.146	2000
4000	7.036	1750
4000	7.894	1500
4000	8.721	1250
4000	9.446	1000
4000	9.901	750
4000	10.037	500
4000	10.061	250
4000	10.067	0
5000	-8.439	0
5000	-8.435	250
5000	-8.419	500
5000	-8.328	750
5000	-8.025	1000
5000	-7.542	1250
5000	-6.991	1500
5000	-6.418	1750
5000	-5.825	2000
5000	-5.224	2250
5000	-4.636	2500
5000	-4.077	2750
5000	-3.559	3000
5000	-3.08	3250
5000	-2.622	3500
5000	-2.175	3750
5000	-1.728	4000
5000	-1.281	4250
5000	-0.846	4500
5000	-0.424	4750
5000	0	5000
5000	0.635	4750
5000	1.269	4500
5000	1.922	4250
5000	2.592	4000
5000	3.262	3750
5000	3.933	3500
5000	4.62	3250
5000	5.338	3000
5000	6.115	2750
5000	6.954	2500
5000	7.836	2250
5000	8.737	2000
5000	9.628	1750
5000	10.486	1500
5000	11.313	1250
5000	12.037	1000
5000	12.492	750
5000	12.629	500
5000	12.652	250
5000	12.658	0
6000	-10.254	0
6000	-10.25	250
6000	-10.234	500
6000	-10.143	750
6000	-9.84	1000
6000	-9.356	1250
6000	-8.805	1500
6000	-8.233	1750
6000	-7.639	2000
6000	-7.038	2250
6000	-6.451	2500
6000	-5.892	2750
6000	-5.374	3000
6000	-4.895	3250
6000	-4.437	3500
6000	-3.989	3750
6000	-3.542	4000
6000	-3.096	4250
6000	-2.661	4500
6000	-2.238	4750
6000	-1.815	5000
6000	-1.373	5250
6000	-0.91	5500
6000	-0.447	5750
6000	0	6000
6000	0.671	5750
6000	1.364	5500
6000	2.059	5250
6000	2.722	5000
6000	3.357	4750
6000	3.991	4500
6000	4.644	4250
6000	5.313	4000
6000	5.984	3750
6000	6.655	3500
6000	7.342	3250
6000	8.06	3000
6000	8.837	2750
6000	9.676	2500
6000	10.558	2250
6000	11.459	2000
6000	12.349	1750
6000	13.208	1500
6000	14.034	1250
6000	14.759	1000
6000	15.214	750
6000	15.351	500
6000	15.374	250
6000	15.38	0
7000	-12.42854008	0
7000	-12.42454008	250
7000	-12.40869264	500
7000	-12.31770161	750
7000	-12.01454587	1000
7000	-11.53127549	1250
7000	-10.98014124	1500
7000	-10.40796181	1750
7000	-9.814340514	2000
7000	-9.213412288	2250
7000	-8.625658399	2500
7000	-8.066501247	2750
7000	-7.548530255	3000
7000	-7.069724509	3250
7000	-6.611634661	3500
7000	-6.164469299	3750
7000	-5.717306088	4000
7000	-5.270797919	4250
7000	-4.835718146	4500
7000	-4.413155586	4750
7000	-3.98955645	5000
7000	-3.547503506	5250
7000	-3.084645969	5500
7000	-2.622074601	5750
7000	-2.175	6000
7000	-1.7625	6250
7000	-1.254166667	6500
7000	-0.729166667	6750
7000	0	7000
7000	1.041666667	6750
7000	1.533333333	6500
7000	1.954166667	6250
7000	2.3875	6000
7000	3.058111901	5750
7000	3.751968953	5500
7000	4.446255259	5250
7000	5.109334676	5000
7000	5.744733379	4750
7000	6.378577219	4500
7000	7.031196878	4250
7000	7.700959132	4000
7000	8.371703948	3750
7000	9.042451991	3500
7000	9.729586764	3250
7000	10.44779538	3000
7000	11.22475187	2750
7000	12.0634876	2500
7000	12.94511843	2250
7000	13.84651077	2000
7000	14.73694272	1750
7000	15.59521186	1500
7000	16.42191324	1250
7000	17.14681881	1000
7000	17.60155241	750
7000	17.73803896	500
7000	17.76181013	250
7000	17.76781013	0
8069	-13.97854008	0
8069	-13.97454008	250
8069	-13.95869264	500
8069	-13.86770161	750
8069	-13.56454587	1000
8069	-13.08127549	1250
8069	-12.53014124	1500
8069	-11.95796181	1750
8069	-11.36434051	2000
8069	-10.76341229	2250
8069	-10.1756584	2500
8069	-9.616501247	2750
8069	-9.098530255	3000
8069	-8.619724509	3250
8069	-8.161634661	3500
8069	-7.714469299	3750
8069	-7.267306088	4000
8069	-6.820797919	4250
8069	-6.385718146	4500
8069	-5.963155586	4750
8069	-5.53955645	5000
8069	-5.097503506	5250
8069	-4.634645969	5500
8069	-4.172074601	5750
8069	-3.725	6000
8069	-3.3125	6250
8069	-2.85	6500
8069	-2.433333333	6750
8069	-2.054166667	7000
8069	-1.691666667	7250
8069	-1.241666667	7500
8069	-0.229166667	8000
8069	0	8069
8069	0.45	8000
8069	1.520833333	7500
8069	1.891666667	7250
8069	2.225	7000
8069	2.725	6750
8069	3.320833333	6500
8069	3.783333333	6250
8069	4.316666667	6000
8069	4.987278568	5750
8069	5.68113562	5500
8069	6.375421926	5250
8069	7.038501343	5000
8069	7.673900046	4750
8069	8.307743886	4500
8069	8.960363545	4250
8069	9.630125799	4000
8069	10.30087062	3750
8069	10.97161866	3500
8069	11.65875343	3250
8069	12.37696205	3000
8069	13.15391854	2750
8069	13.99265427	2500
8069	14.8742851	2250
8069	15.77567744	2000
8069	16.66610939	1750
8069	17.52437852	1500
8069	18.35107991	1250
8069	19.07598547	1000
8069	19.53071908	750
8069	19.66720563	500
8069	19.69097679	250
8069	19.69697679	0
9959	-16.02437342	0
9959	-16.02037342	250
9959	-16.00452597	500
9959	-15.91353494	750
9959	-15.6103792	1000
9959	-15.12710883	1250
9959	-14.57597457	1500
9959	-14.00379515	1750
9959	-13.41017385	2000
9959	-12.80924562	2250
9959	-12.22149173	2500
9959	-11.66233458	2750
9959	-11.14436359	3000
9959	-10.66555784	3250
9959	-10.20746799	3500
9959	-9.760302632	3750
9959	-9.313139421	4000
9959	-8.866631252	4250
9959	-8.431551479	4500
9959	-8.008988919	4750
9959	-7.585389783	5000
9959	-7.143336839	5250
9959	-6.680479302	5500
9959	-6.217907934	5750
9959	-5.770833333	6000
9959	-5.445833333	6250
9959	-5.1125	6500
9959	-4.7875	6750
9959	-4.366666667	7000
9959	-3.975	7250
9959	-3.570833333	7500
9959	-2.895833333	8000
9959	-2.225	8500
9959	-1.625	9000
9959	-0.895833333	9500
9959	0	9959
9959	1.195833333	9500
9959	1.833333333	9000
9959	2.433333333	8500
9959	3.354166667	8000
9959	4.133333333	7500
9959	4.633333333	7250
9959	5.166666667	7000
9959	5.654166667	6750
9959	6.120833333	6500
9959	6.6	6250
9959	7.25	6000
9959	7.920611901	5750
9959	8.614468953	5500
9959	9.308755259	5250
9959	9.971834676	5000
9959	10.60723338	4750
9959	11.24107722	4500
9959	11.89369688	4250
9959	12.56345913	4000
9959	13.23420395	3750
9959	13.90495199	3500
9959	14.59208676	3250
9959	15.31029538	3000
9959	16.08725187	2750
9959	16.9259876	2500
9959	17.80761843	2250
9959	18.70901077	2000
9959	19.59944272	1750
9959	20.45771186	1500
9959	21.28441324	1250
9959	22.00931881	1000
9959	22.46405241	750
9959	22.60053896	500
9959	22.62431013	250
9959	22.63031013	0
11763	-18.94104008	0
11763	-18.93704008	250
11763	-18.92119264	500
11763	-18.83020161	750
11763	-18.52704587	1000
11763	-18.04377549	1250
11763	-17.49264124	1500
11763	-16.92046181	1750
11763	-16.32684051	2000
11763	-15.72591229	2250
11763	-15.1381584	2500
11763	-14.57900125	2750
11763	-14.06103025	3000
11763	-13.58222451	3250
11763	-13.12413466	3500
11763	-12.6769693	3750
11763	-12.22980609	4000
11763	-11.78329792	4250
11763	-11.34821815	4500
11763	-10.92565559	4750
11763	-10.50205645	5000
11763	-10.06000351	5250
11763	-9.597145969	5500
11763	-9.134574601	5750
11763	-8.6875	6000
11763	-8.220833333	6250
11763	-7.745833333	6500
11763	-7.116666667	6750
11763	-6.783333333	7000
11763	-6.370833333	7250
11763	-5.875	7500
11763	-5.1	8000
11763	-4.195833333	8500
11763	-3.429166667	9000
11763	-2.808333333	9500
11763	-2.266666667	10000
11763	-1.766666667	10500
11763	-1.166666667	11000
11763	-0.5	11500
11763	0	11763
11763	0.8	11500
11763	1.445833333	11000
11763	1.958333333	10500
11763	2.475	10000
11763	3.291666667	9500
11763	3.925	9000
11763	4.741666667	8500
11763	5.766666667	8000
11763	6.704166667	7500
11763	7.325	7250
11763	7.895833333	7000
11763	8.3625	6750
11763	8.829166667	6500
11763	9.295833333	6250
11763	9.8	6000
11763	10.4706119	5750
11763	11.16446895	5500
11763	11.85875526	5250
11763	12.52183468	5000
11763	13.15723338	4750
11763	13.79107722	4500
11763	14.44369688	4250
11763	15.11345913	4000
11763	15.78420395	3750
11763	16.45495199	3500
11763	17.14208676	3250
11763	17.86029538	3000
11763	18.63725187	2750
11763	19.4759876	2500
11763	20.35761843	2250
11763	21.25901077	2000
11763	22.14944272	1750
11763	23.00771186	1500
11763	23.83441324	1250
11763	24.55931881	1000
11763	25.01405241	750
11763	25.15053896	500
11763	25.17431013	250
11763	25.18031013	0
13871	-21.28270675	0
13871	-21.27870675	250
13871	-21.26285931	500
13871	-21.17186828	750
13871	-20.86871254	1000
13871	-20.38544216	1250
13871	-19.83430791	1500
13871	-19.26212848	1750
13871	-18.66850718	2000
13871	-18.06757896	2250
13871	-17.47982507	2500
13871	-16.92066792	2750
13871	-16.40269692	3000
13871	-15.92389118	3250
13871	-15.46580133	3500
13871	-15.01863597	3750
13871	-14.57147276	4000
13871	-14.12496459	4250
13871	-13.68988482	4500
13871	-13.26732226	4750
13871	-12.84372312	5000
13871	-12.40167018	5250
13871	-11.93881264	5500
13871	-11.47624127	5750
13871	-11.02916667	6000
13871	-10.51666667	6250
13871	-10.14583333	6500
13871	-9.8125	6750
13871	-9.479166667	7000
13871	-9.083333333	7250
13871	-8.629166667	7500
13871	-7.6	8000
13871	-6.825	8500
13871	-5.845833333	9000
13871	-5.079166667	9500
13871	-4.233333333	10000
13871	-3.525	10500
13871	-3.079166667	11000
13871	-2.541666667	11500
13871	-2.083333333	12000
13871	-1.658333333	12500
13871	-1.1375	13000
13871	-0.579166667	13500
13871	0	13871
13871	0.883333333	13500
13871	1.420833333	13000
13871	1.8625	12500
13871	2.254166667	12000
13871	2.883333333	11500
13871	3.508333333	11000
13871	4.054166667	10500
13871	4.775	10000
13871	5.65	9500
13871	6.445833333	9000
13871	7.416666667	8500
13871	8.279166667	8000
13871	9.183333333	7500
13871	9.65	7250
13871	10.16666667	7000
13871	10.65416667	6750
13871	11.2125	6500
13871	11.90833333	6250
13871	12.75833333	6000
13871	13.42894523	5750
13871	14.12280228	5500
13871	14.81708859	5250
13871	15.48016801	5000
13871	16.11556671	4750
13871	16.74941055	4500
13871	17.40203021	4250
13871	18.07179246	4000
13871	18.74253728	3750
13871	19.41328532	3500
13871	20.10042009	3250
13871	20.81862871	3000
13871	21.5955852	2750
13871	22.43432093	2500
13871	23.31595176	2250
13871	24.2173441	2000
13871	25.10777605	1750
13871	25.96604519	1500
13871	26.79274657	1250
13871	27.51765214	1000
13871	27.97238574	750
13871	28.10887229	500
13871	28.13264346	250
13871	28.13864346	0
16000	-23.77854008	0
16000	-23.77454008	250
16000	-23.75869264	500
16000	-23.66770161	750
16000	-23.36454587	1000
16000	-22.88127549	1250
16000	-22.33014124	1500
16000	-21.75796181	1750
16000	-21.16434051	2000
16000	-20.56341229	2250
16000	-19.9756584	2500
16000	-19.41650125	2750
16000	-18.89853025	3000
16000	-18.41972451	3250
16000	-17.96163466	3500
16000	-17.5144693	3750
16000	-17.06730609	4000
16000	-16.62079792	4250
16000	-16.18571815	4500
16000	-15.76315559	4750
16000	-15.33955645	5000
16000	-14.89750351	5250
16000	-14.43464597	5500
16000	-13.9720746	5750
16000	-13.525	6000
16000	-12.7125	6250
16000	-12.1125	6500
16000	-11.5125	6750
16000	-10.85416667	7000
16000	-10.475	7250
16000	-10.14166667	7500
16000	-9.566666667	8000
16000	-8.858333333	8500
16000	-7.991666667	9000
16000	-7.245833333	9500
16000	-6.5625	10000
16000	-5.654166667	10500
16000	-5.016666667	11000
16000	-4.279166667	11500
16000	-3.616666667	12000
16000	-3.233333333	12500
16000	-2.745833333	13000
16000	-2.345833333	13500
16000	-1.970833333	14000
16000	-1.591666667	14500
16000	-1.133333333	15000
16000	-0.654166667	15500
16000	0	16000
16000	0.966666667	15500
16000	1.416666667	15000
16000	1.804166667	14500
16000	2.145833333	14000
16000	2.579166667	13500
16000	3.216666667	13000
16000	3.683333333	12500
16000	4.2125	12000
16000	4.816666667	11500
16000	5.591666667	11000
16000	6.291666667	10500
16000	7.1	10000
16000	7.916666667	9500
16000	8.608333333	9000
16000	9.466666667	8500
16000	10.44583333	8000
16000	11.40416667	7500
16000	12.0125	7250
16000	12.78333333	7000
16000	13.53333333	6750
16000	14.5	6500
16000	15.9125	6250
16000	17.13333333	6000
16000	17.80394523	5750
16000	18.49780228	5500
16000	19.19208859	5250
16000	19.85516801	5000
16000	20.49056671	4750
16000	21.12441055	4500
16000	21.77703021	4250
16000	22.44679246	4000
16000	23.11753728	3750
16000	23.78828532	3500
16000	24.47542009	3250
