%	
% Overschrijdingsfrequentie van de Maas afvoer bij Lith
%
% Overgenomen uit H.J. Kalk, I.B.M. Lammers en C.P.M. Geerse; Uitbreiding 
% afvoerstatistiek - Borgharen, Lith, Lobith en Olst; december 2001
% Getallen berekend met formule (3.5) uit paragraaf 3.2.1. Deze formule
% is ook gebruikt voor terugkeertijden kleiner dan 1 jaar.
%
% Afvoer     Overschrijdingsfrequentie
%  (m3/s)     (1/jaar)
%	
     0.0     5.5324841e+001
    25.0     5.1261003e+001
    50.0     4.7495670e+001
    75.0     4.4006916e+001
   100.0     4.0774426e+001
   125.0     3.7779376e+001
   150.0     3.5004324e+001
   175.0     3.2433112e+001
   200.0     3.0050766e+001
   225.0     2.7843413e+001
   250.0     2.5798199e+001
   275.0     2.3903214e+001
   300.0     2.2147424e+001
   325.0     2.0520604e+001
   350.0     1.9013281e+001
   375.0     1.7616677e+001
   400.0     1.6322659e+001
   425.0     1.5123692e+001
   450.0     1.4012794e+001
   475.0     1.2983497e+001
   500.0     1.2029805e+001
   525.0     1.1146166e+001
   550.0     1.0327434e+001
   575.0     9.5688413e+000
   600.0     8.8659703e+000
   625.0     8.2147281e+000
   650.0     7.6113223e+000
   675.0     7.0522392e+000
   700.0     6.5342230e+000
   725.0     6.0542573e+000
   750.0     5.6095471e+000
   775.0     5.1975026e+000
   800.0     4.8157245e+000
   825.0     4.4619896e+000
   850.0     4.1342380e+000
   875.0     3.8305611e+000
   900.0     3.5491906e+000
   925.0     3.2884878e+000
   950.0     3.0469348e+000
   975.0     2.8231248e+000
  1000.0     2.6157546e+000
  1025.0     2.4236166e+000
  1050.0     2.2455920e+000
  1075.0     2.0806439e+000
  1100.0     1.9278120e+000
  1125.0     1.7862063e+000
  1150.0     1.6550020e+000
  1175.0     1.5334353e+000
  1200.0     1.4207981e+000
  1225.0     1.3164346e+000
  1250.0     1.2197370e+000
  1275.0     1.1301423e+000
  1300.0     1.0471287e+000
  1315.0907  1.0000000e+000
  1325.0     9.7021273e-001
  1350.0     8.9894659e-001
  1375.0     8.3291525e-001
  1400.0     7.7173417e-001
  1425.0     7.1504710e-001
  1450.0     6.6252394e-001
  1475.0     6.1385881e-001
  1500.0     5.6876834e-001
  1525.0     5.2698995e-001
  1550.0     4.8828036e-001
  1575.0     4.5241415e-001
  1600.0     4.1918246e-001
  1625.0     3.8839177e-001
  1650.0     3.5986279e-001
  1675.0     3.3342938e-001
  1700.0     3.0893761e-001
  1725.0     2.8624486e-001
  1750.0     2.6521899e-001
  1775.0     2.4573756e-001
  1800.0     2.2768712e-001
  1825.0     2.1096256e-001
  1850.0     1.9546648e-001
  1875.0     1.8110866e-001
  1900.0     1.6780548e-001
  1925.0     1.5547947e-001
  1950.0     1.4405886e-001
  1975.0     1.3347714e-001
  2000.0     1.2367270e-001
  2025.0     1.1458842e-001
  2050.0     1.0617143e-001
  2075.0     9.8372699e-002
  2100.0     9.1146818e-002
  2125.0     8.4451707e-002
  2150.0     7.8248379e-002
  2175.0     7.2500712e-002
  2200.0     6.7175235e-002
  2225.0     6.2240936e-002
  2250.0     5.7669081e-002
  2275.0     5.3433049e-002
  2300.0     4.9508170e-002
  2325.0     4.5871590e-002
  2350.0     4.2502132e-002
  2375.0     3.9380175e-002
  2400.0     3.6487538e-002
  2425.0     3.3807377e-002
  2450.0     3.1324085e-002
  2475.0     2.9023202e-002
  2500.0     2.6891327e-002
  2525.0     2.4916048e-002
  2550.0     2.3085861e-002
  2575.0     2.1390109e-002
  2600.0     1.9818917e-002
  2625.0     1.8363136e-002
  2650.0     1.7014287e-002
  2675.0     1.5764518e-002
  2700.0     1.4606548e-002
  2725.0     1.3533637e-002
  2750.0     1.2539535e-002
  2775.0     1.1618455e-002
  2800.0     1.0765031e-002
  2825.0     9.9742950e-003
  2850.0     9.2416417e-003
  2875.0     8.5628049e-003
  2900.0     7.9338315e-003
  2925.0     7.3510587e-003
  2950.0     6.8110930e-003
  2975.0     6.3107900e-003
  3000.0     5.8472364e-003
  3025.0     5.4177327e-003
  3050.0     5.0197778e-003
  3075.0     4.6510543e-003
  3100.0     4.3094152e-003
  3125.0     3.9928708e-003
  3150.0     3.6995779e-003
  3175.0     3.4278286e-003
  3200.0     3.1760404e-003
  3225.0     2.9427471e-003
  3250.0     2.7265901e-003
  3275.0     2.5263108e-003
  3300.0     2.3407428e-003
  3325.0     2.1688056e-003
  3350.0     2.0094978e-003
  3375.0     1.8618919e-003
  3400.0     1.7251282e-003
  3425.0     1.5984104e-003
  3450.0     1.4810006e-003
  3475.0     1.3722149e-003
  3500.0     1.2714201e-003
  3525.0     1.1780290e-003
  3550.0     1.0914979e-003
  3575.0     1.0113229e-003
  3600.0     9.3703702e-004
  3625.0     8.6820777e-004
  3650.0     8.0443432e-004
  3675.0     7.4534529e-004
  3700.0     6.9059659e-004
  3725.0     6.3986941e-004
  3750.0     5.9286836e-004
  3775.0     5.4931972e-004
  3800.0     5.0896992e-004
  3825.0     4.7158397e-004
  3850.0     4.3694418e-004
  3875.0     4.0484882e-004
  3900.0     3.7511100e-004
  3925.0     3.4755754e-004
  3950.0     3.2202800e-004
  3975.0     2.9837371e-004
  4000.0     2.7645693e-004
  4025.0     2.5615002e-004
  4050.0     2.3733474e-004
  4075.0     2.1990152e-004
  4100.0     2.0374885e-004
  4125.0     1.8878265e-004
  4150.0     1.7491578e-004
  4175.0     1.6206750e-004
  4200.0     1.5016297e-004
  4225.0     1.3913288e-004
  4250.0     1.2891299e-004
  4275.0     1.1944380e-004
  4300.0     1.1067016e-004
  4325.0     1.0254098e-004
