%	
% Overschrijdingsfrequentie van de Rijn afvoer bij Lobith
%
% Overgenomen uit H.J. Kalk, I.B.M. Lammers en C.P.M. Geerse; Uitbreiding 
% afvoerstatistiek - Borgharen, Lith, Lobith en Olst; december 2001
% Getallen berekend met formules (3.7) en (3.8) uit de paragraf 3.3.1 en
% 3.3.3. Formule (3.8) is ook gebruikt voor terugkeertijden kleiner dan 1 jaar.
%
% Afvoer       Overschrijdingsfrequentie
%  (m3/s)	(1/jaar)
%	
      0.0      3.7949954e+001
    250.0      3.2525160e+001
    500.0      2.7875819e+001
    750.0      2.3891083e+001
   1000.0      2.0475948e+001
   1250.0      1.7548994e+001
   1500.0      1.5040435e+001
   1750.0      1.2890466e+001
   2000.0      1.1047825e+001
   2250.0      9.4685830e+000
   2500.0      8.1150871e+000
   2750.0      6.9550680e+000
   3000.0      5.9608689e+000
   3250.0      5.1087867e+000
   3500.0      4.3785061e+000
   3750.0      3.7526162e+000
   4000.0      3.2161948e+000
   4250.0      2.7564527e+000
   4500.0      2.3624288e+000
   4750.0      2.0247291e+000
   5000.0      1.7353022e+000
   5250.0      1.4872477e+000
   5500.0      1.2746516e+000
   5750.0      1.0924453e+000
   6000.0      9.3628464e-001
   6250.0      8.0244651e-001
   6500.0      6.8774000e-001
   6750.0      5.8943033e-001
   7000.0      5.0517363e-001
   7250.0      4.2875268e-001
   7500.0      3.6364059e-001
   7750.0      3.0841668e-001
   8000.0      2.6157930e-001
   8250.0      2.2185482e-001
   8500.0      1.8816307e-001
   8750.0      1.5958788e-001
   9000.0      1.3535223e-001
   9250.0      1.1479710e-001
   9500.0      9.7363554e-002
   9750.0      8.2577538e-002
  10000.0      7.0036984e-002
  10250.0      5.9400889e-002
  10500.0      5.0380034e-002
  10750.0      4.2729121e-002
  11000.0      3.5693239e-002
  11250.0      2.9519579e-002
  11500.0      2.4413742e-002
  11750.0      2.0191034e-002
  12000.0      1.6698703e-002
  12250.0      1.3810422e-002
  12500.0      1.1421710e-002
  12750.0      9.4461610e-003
  13000.0      7.8123113e-003
  13250.0      6.4610595e-003
  13500.0      5.3435261e-003
  13750.0      4.4192862e-003
  14000.0      3.6549070e-003
  14250.0      3.0227382e-003
  14500.0      2.4999120e-003
  14750.0      2.0675162e-003
  15000.0      1.7099095e-003
  15250.0      1.4141560e-003
  15500.0      1.1695573e-003
  15750.0      9.6726554e-004
  16000.0      7.9996302e-004
  16250.0      6.6159789e-004
  16500.0      5.4716500e-004
  16750.0      4.5252492e-004
  17000.0      3.7425422e-004
  17250.0      3.0952156e-004
  17500.0      2.5598534e-004
  17750.0      2.1170899e-004
  18000.0      1.7509087e-004
  18250.0      1.4480638e-004
  18500.0      1.1976003e-004
