%	
% Momentane overschrijdingskans van de Rijnafvoer bij Lobith
%
% Overgenomen uit bijlage C-2 (Eerste kolom zonder aanpassingen en tweede kolom 	%moet D-2 zijn?
% gedeeld door 182.0) van H.J. Kalk, I.B.M. Lammers en C.P.M. Geerse; Uitbreiding 
% afvoerstatistiek - Borgharen, Lith, Lobith en Olst; december 2001
%
% Afvoer     overschrijdingskans	
% (m3/s)      (1/dag)	
%
       0.0   1.00000E+00
     250.0   1.00000E+00
     500.0   1.00000E+00
     750.0   9.90927E-01
    1000.0   9.32402E-01
    1250.0   8.20394E-01
    1500.0   6.99410E-01
    1750.0   5.92666E-01
    2000.0   4.96782E-01
    2250.0   4.12495E-01
    2500.0   3.40465E-01
    2750.0   2.81460E-01
    3000.0   2.33625E-01
    3250.0   1.96637E-01
    3500.0   1.66424E-01
    3750.0   1.41534E-01
    4000.0   1.20324E-01
    4250.0   1.02024E-01
    4500.0   8.65114E-02
    4750.0   7.37865E-02
    5000.0   6.30066E-02
    5250.0   5.35922E-02
    5500.0   4.49450E-02
    5750.0   3.73839E-02
    6000.0   3.10622E-02
    6250.0   2.58842E-02
    6500.0   2.15474E-02
    6750.0   1.79154E-02
    7000.0   1.48399E-02
    7250.0   1.22723E-02
    7500.0   1.01500E-02
    7750.0   8.39408E-03
    8000.0   6.94767E-03
    8250.0   5.73988E-03
    8500.0   4.74189E-03
    8750.0   3.91522E-03
    9000.0   3.23254E-03
    9250.0   2.66806E-03
    9500.0   2.20042E-03
    9750.0   1.81362E-03
   10000.0   1.49690E-03
   10250.0   1.23330E-03
   10500.0   1.01460E-03
   10750.0   8.30807E-04
   11000.0   6.76794E-04
   11250.0   5.51253E-04
   11500.0   4.49215E-04
   11750.0   3.65753E-04
   12000.0   2.97726E-04
   12250.0   2.42461E-04
   12500.0   1.97524E-04
   12750.0   1.60962E-04
   13000.0   1.31208E-04
   13250.0   1.06985E-04
   13500.0   8.72647E-05
   13750.0   7.11867E-05
   14000.0   5.80857E-05
   14250.0   4.74072E-05
   14500.0   3.87031E-05
   14750.0   3.16035E-05
   15000.0   2.58096E-05
   15250.0   2.10830E-05
   15500.0   1.72254E-05
   15750.0   1.40598E-05
   16000.0   1.14664E-05
   16250.0   9.35170E-06
   16500.0   7.62846E-06
   16750.0   6.22580E-06
   17000.0   5.09094E-06
   17250.0   4.16833E-06
   17500.0   3.41363E-06
   17750.0   2.79579E-06
   18000.0   2.29021E-06
   18250.0   1.87642E-06
   18500.0   1.53976E-06
   18750.0   1.26500E-06
   19000.0   1.03966E-06
   19250.0   8.54610E-07
   19500.0   7.02509E-07
   19750.0   5.76682E-07
   20000.0   4.72746E-07
   20250.0   3.87465E-07
   20500.0   3.17589E-07
   20750.0   2.60326E-07
   21000.0   2.13397E-07
   21250.0   1.74934E-07
   21500.0   1.43403E-07
   21750.0   1.17553E-07
   22000.0   9.63621E-08
   22250.0   7.89856E-08
   22500.0   6.47390E-08
   22750.0   5.30552E-08
   23000.0   4.34737E-08
   23250.0   3.56150E-08
   23500.0   2.91664E-08
   23750.0   2.38828E-08
   24000.0   1.95465E-08
   24250.0   1.59896E-08
   24500.0   1.30722E-08
   24750.0   1.06787E-08
   25000.0   8.71664E-09
