%POTENTIAL WIND STATION  240    Schiphol          
%MOST RECENT COORDINATES  X :     114350; Y :     481000
% MEASURED AT   10.0 METER HEIGHT
%
% POTENTIAL WIND MEANS: CORRECTED TO THE WIND SPEED AT 10 M HEIGHT OVER
% OPEN  LAND WITH ROUGHNESS LENGTH  0.03 METER
%
% CONSULT THE REPORTS AT THE SITE: http://www.knmi.nl/samenw/hydra
% FOR BACKGROUND INFORMATION
% THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
% ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
% KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT
%
% VERSION JANUARY 2003
%
% TIME IN GMT
% DD  = WIND DIRECTION IN DEGREES NORTH 
% QQD = QUALITY CODE DD
% UP  = POTENTIAL WIND SPEED IN 0.1 M/S
% QUP = QUALITY CODE UP
%
%  DATE,TIME, DD,QDD, UP,QUP
19500301,01,  0,  2,  2,  2
19500301,02,250,  2,  6,  2
19500301,03,280,  2, 10,  2
19500301,04,280,  2, 10,  2
19500301,05,280,  2,  7,  2
19500301,06,280,  2,  8,  2
19500301,07, 40,  2, 11,  2
19500301,08,  0,  2,  4,  2
19500301,09,350,  2,  3,  2
19500301,10, 50,  2, 18,  2
19500301,11, 20,  2, 30,  2
19500301,12,360,  2, 35,  2
19500301,13, 20,  2, 34,  2
19500301,14, 20,  2, 32,  2
19500301,15, 80,  2, 40,  2
19500301,16, 40,  2, 37,  2
19500301,17, 70,  2, 24,  2
19500301,18, 60,  2, 13,  2
19500301,19, 50,  2, 11,  2
19500301,20, 40,  2, 11,  2
19500301,21,360,  2, 10,  2
19500301,22,  0,  2,  4,  2
19500301,23, 90,  2,  6,  2
19500301,24,100,  2, 10,  2
19500302,01,  0,  2,  4,  2
19500302,02, 90,  2,  3,  2
19500302,03,100,  2,  8,  2
19500302,04,100,  2,  7,  2
19500302,05,100,  2,  8,  2
19500302,06,150,  2, 17,  2
19500302,07,180,  2, 13,  2
19500302,08,180,  2,  9,  2
19500302,09,180,  2, 14,  2
19500302,10,180,  2, 23,  2
19500302,11,170,  2, 38,  2
19500302,12,200,  2, 58,  2
19500302,13,200,  2, 70,  2
19500302,14,190,  2, 73,  2
19500302,15,170,  2, 78,  2
19500302,16,180,  2, 62,  2
19500302,17,180,  2, 40,  2
19500302,18,170,  2, 33,  2
19500302,19,160,  2, 33,  2
19500302,20,150,  2, 40,  2
19500302,21,170,  2, 51,  2
19500302,22,160,  2, 52,  2
19500302,23,170,  2, 54,  2
19500302,24,180,  2, 59,  2
19500303,01,190,  2, 56,  2
19500303,02,180,  2, 59,  2
19500303,03,180,  2, 68,  2
19500303,04,180,  2, 63,  2
19500303,05,180,  2, 59,  2
19500303,06,180,  2, 65,  2
19500303,07,190,  2, 74,  2
19500303,08,190,  2, 89,  2
19500303,09,190,  2, 90,  2
19500303,10,200,  2, 85,  2
19500303,11,200,  2, 85,  2
19500303,12,200,  2, 85,  2
19500303,13,210,  2, 81,  2
