%statistiek_Hydra_M_IJsselmeer.txt
%Door: Chris Geerse
%Datum 18 jan 2006.
%
%Bron:
%Overschrijdingsfrequentie OF uit bijlage 8 van [Blaakman et al, 1999].
%Dagenlijnen (omni, west en oost) uit bijlage 9 van [Blaakman et al, 1999].
%
%[Blaakman et al, 1999]:
%Achtergronden Hydraulische Belastingen Dijken IJsselmeergebied. 
%Deelrapport 2: Meerpeilstatistiek. E.J. Blaakman, H. Buiteveld, H.C. van Twuiver,
%A. van Agthoven. RIZA rapport 99.039. RIZA Lelystad, 25 maart 1999.
%
%
%m, m+NAP     OF, 1/whjaar		 OD, dag/whjaar           ODwest, dag/whjaar    ODoost, dag/whjaar
-0.40        6.3289473750        181.9183140049			  131.5766395080		50.3416744969
-0.39		 6.8421052500		 167.9948944138			  121.9844809506		46.0104134631
-0.38		 7.3486841250		 152.2272567810			  110.9658790497		41.2613777313
-0.37		 7.7105262500		 138.8038333551			  101.5709770330		37.2328563222
-0.36		 7.8289472500		 129.4409758381			  95.0809642391			34.3600115990
-0.35		 7.6644736250		 122.4516544817			  90.2865186819			32.1651357998
-0.34		 7.3618420000		 116.4167645361			  86.1574927564			30.2592717797
-0.33		 7.0789472500		 110.5780228212			  82.1388635787			28.4391592426
-0.32		 6.8355262500		 105.0398230022			  78.3103723091			26.7294506931
-0.31		 6.6447367500		 99.8772872669			  74.7309727030			25.1463145639
-0.30		 6.4342105000		 94.9525397432			  71.3004737368			23.6520660064
-0.29		 6.2631578750		 90.3589701100			  68.0914413372			22.2675287728
-0.28		 6.1710527500		 86.1208208961			  65.1251139972			20.9957068988
-0.27		 6.2105263750		 81.8526415698			  62.1120312388			19.7406103311
-0.26		 6.2236842500		 77.3412573984			  58.8899009126			18.4513564858
-0.25		 6.1973685000		 72.8912017509			  55.6897275360			17.2014742149
-0.24		 6.0986842500		 68.5133049665			  52.5205637150			15.9927412515
-0.23		 6.0065790000		 64.1755664340			  49.3586020966			14.8169643375
-0.22		 5.8618421250		 60.0686409917			  46.3515257125			13.7171152793
-0.21		 5.7105263750		 56.1221966345			  43.4468467404			12.6753498941
-0.20		 5.5460526250		 52.3572325037			  40.6623303591			11.6949021446
-0.19		 5.3223685000		 48.7342006406			  37.9687239694			10.7654766712
-0.18		 5.0789475000		 45.3188136741			  35.4186519308			9.9001617432
-0.17		 4.7894738750		 42.1529977318			  33.0467150902			9.1062826416
-0.16		 4.5263160000		 39.2067794552			  30.8313365452			8.3754429100
-0.15		 4.2434212500		 36.4757595090			  28.7708081411			7.7049513680
-0.14		 3.9539476250		 34.0987454693			  26.9766306526			7.1221148167
-0.13		 3.6710528750		 31.7658499682			  25.2055922129			6.5602577553
-0.12		 3.3552633750		 29.5473719777			  23.5140757512			6.0332962264
-0.11		 3.1250002500		 27.3564865635			  21.8337122389			5.5227743246
-0.10		 2.9473686250		 25.4024122841			  20.3322829730			5.0701293110
-0.09		 2.7960527500		 23.6837201643			  19.0103994955			4.6733206687
-0.08		 2.6513158750		 22.1711981659			  17.8462221955			4.3249759703
-0.07		 2.5460527500		 20.8317717748			  16.8145553013			4.0172164736
-0.06		 2.5065790000		 19.5624391443			  15.8332574380			3.7291817063
-0.05		 2.4407895000		 18.3227016778			  14.8700124074			3.4526892704
-0.04		 2.3684211250		 17.0939018381			  13.9099024083			3.1839994298
-0.03		 2.2171052500		 16.1070202169			  13.1415230518			2.9654971651
-0.02		 2.0657895000		 15.1633855550			  12.4039801478			2.7594054072
-0.01		 1.9407895000		 14.2980145853			  11.7263198184			2.5716947669
0.00		 1.8552631250		 13.4265624264			  11.0397456494			2.3868167770
0.01		 1.7828947500		 12.5315437602			  10.3298497108			2.2016940495
0.02		 1.6842105000		 11.6258735026			  9.6072135022			2.0186600004
0.03		 1.6052631250		 10.7976017524			  8.9447642498			1.8528375026
0.04		 1.5394736250		 10.0364443508			  8.3344816016			1.7019627493
0.05		 1.5131578750		 9.2579727411			  7.7065382133			1.5514345278
0.06		 1.4736841250		 8.4771284554			  7.0733410784			1.4037873770
0.07		 1.4276315000		 7.7300892107			  6.4651773270			1.2649118837
0.08		 1.3750000000		 7.0211453125			  5.8858867943			1.1352585182
0.09		 1.2960526250		 6.3811150992			  5.3616282052			1.0194868940
0.10		 1.2171052500		 5.8028231281			  4.8867891423			0.9160339858
0.11		 1.1447367500		 5.2723283587			  4.4499914811			0.8223368776
0.12		 1.0986841250		 4.7697723261			  4.0347363324			0.7350359936
0.13		 1.0460525000		 4.2888283257			  3.6358454282			0.6529828975
0.14		 1.0065788750		 3.8511204468			  3.2718374359			0.5792830109
0.15		 0.9736841250		 3.4107181215			  2.9038695185			0.5068486029
0.16		 0.9144736250		 2.9773775210			  2.5402727805			0.4371047406
0.17		 0.8684210000		 2.5538633321			  2.1834763816			0.3703869505
0.18		 0.8355263750		 2.1102986536			  1.8079572969			0.3023413566
0.19		 0.7697370000		 1.7315998244			  1.4865320617			0.2450677627
0.20		 0.6776317500		 1.3649615787			  1.1741371202			0.1908244585
0.21		 0.5855265000		 1.0617666297			  0.9151420006			0.1466246291
0.22		 0.4868422500		 0.7990709684			  0.6900734149			0.1089975535
0.23		 0.3947370000		 0.5896456298			  0.5102007968			0.0794448330
0.24		 0.3157896250		 0.4316569092			  0.3742128282			0.0574440810
0.25		 0.2368422500		 0.2978618744			  0.2587107211			0.0391511533
0.26		 0.1578948750		 0.1836823326			  0.1598367077			0.0238456249
0.27		 0.1118422500		 0.1209858367			  0.1054734399			0.0155123967
0.28		 0.0890075720		 0.0899940135			  0.0785980748			0.0113959387
0.29		 0.0821485960		 0.0780196153			  0.0682624697			0.0097571457
0.30		 0.0757410210		 0.0678937150			  0.0595083779			0.0083853372
0.31		 0.0697647870		 0.0592947652			  0.0520625650			0.0072322002
0.32		 0.0641996250		 0.0519616061			  0.0457027863			0.0062588198
0.33		 0.0590252100		 0.0456816414			  0.0402479150			0.0054337264
0.34		 0.0542212840		 0.0402813719			  0.0355499335			0.0047314384
0.35		 0.0497677790		 0.0356188288			  0.0314874469			0.0041313819
0.36		 0.0456449240		 0.0315775094			  0.0279608255			0.0036166839
0.37		 0.0418333380		 0.0280615114			  0.0248879123			0.0031735991
0.38		 0.0383141190		 0.0249916323			  0.0222007990			0.0027908333
0.39		 0.0350689120		 0.0223022287			  0.0198431155			0.0024591132
0.40		 0.0320799710		 0.0199386927			  0.0177679478			0.0021707449
0.41		 0.0293302100		 0.0178554190			  0.0159360646			0.0019193545
0.42		 0.0268032400		 0.0160141640			  0.0143145327			0.0016996313
0.43		 0.0244834000		 0.0143827221			  0.0128756055			0.0015071166
0.44		 0.0223557780		 0.0129338560			  0.0115957709			0.0013380852
