% Banden (verbrede versie) uit PR3280.20
%
% mpOnderBr	Pov_onderBr		mpBovenBr	Pov_bovenBr
-0.1000	1.00E+00		-0.1000	1.00E+00
-0.0925	9.93E-01		-0.0870	9.93E-01
-0.0850	9.86E-01		-0.0739	9.86E-01
-0.0774	9.79E-01		-0.0609	9.79E-01
-0.0699	9.73E-01		-0.0479	9.73E-01
-0.0624	9.66E-01		-0.0348	9.66E-01
-0.0549	9.59E-01		-0.0218	9.59E-01
-0.0473	9.53E-01		-0.0088	9.53E-01
-0.0398	9.46E-01		0.0043	9.46E-01
-0.0323	9.40E-01		0.0173	9.40E-01
-0.0248	9.33E-01		0.0303	9.33E-01
-0.0172	9.27E-01		0.0433	9.27E-01
-0.0097	9.20E-01		0.0564	9.20E-01
-0.0022	9.14E-01		0.0694	9.14E-01
0.0053	9.08E-01		0.0824	9.08E-01
0.0129	9.01E-01		0.0955	9.01E-01
0.0204	8.95E-01		0.1085	8.95E-01
0.0279	8.89E-01		0.1215	8.89E-01
0.0354	7.74E-01		0.1346	7.74E-01
0.0430	6.74E-01		0.1476	6.74E-01
0.0505	5.86E-01		0.1606	5.86E-01
0.0580	5.11E-01		0.1737	5.11E-01
0.0655	4.44E-01		0.1867	4.44E-01
0.0731	3.87E-01		0.1997	3.87E-01
0.0806	3.37E-01		0.2127	3.37E-01
0.0881	2.93E-01		0.2258	2.93E-01
0.0957	2.55E-01		0.2388	2.55E-01
0.1032	2.22E-01		0.2518	2.22E-01
0.1107	1.93E-01		0.2649	1.93E-01
0.1182	1.68E-01		0.2779	1.68E-01
0.1258	1.47E-01		0.2909	1.47E-01
0.1333	1.28E-01		0.3040	1.28E-01
0.1408	1.11E-01		0.3170	1.11E-01
0.1483	9.78E-02		0.3300	9.78E-02
0.1559	8.60E-02		0.3430	8.60E-02
0.1634	7.57E-02		0.3561	7.57E-02
0.1709	6.66E-02		0.3691	6.66E-02
0.1784	5.86E-02		0.3821	5.86E-02
0.1860	5.16E-02		0.3952	5.16E-02
0.1935	4.54E-02		0.4082	4.54E-02
0.2010	3.99E-02		0.4212	3.99E-02
0.2085	3.51E-02		0.4343	3.51E-02
0.2161	3.09E-02		0.4473	3.09E-02
0.2236	2.72E-02		0.4603	2.72E-02
0.2311	2.39E-02		0.4733	2.39E-02
0.2386	2.11E-02		0.4864	2.11E-02
0.2462	1.85E-02		0.4994	1.85E-02
0.2537	1.63E-02		0.5124	1.63E-02
0.2612	1.44E-02		0.5255	1.44E-02
0.2687	1.26E-02		0.5385	1.26E-02
0.2763	1.11E-02		0.5515	1.11E-02
0.2828	9.78E-03		0.5660	9.78E-03
0.2894	8.60E-03		0.5805	8.60E-03
0.2960	7.57E-03		0.5949	7.57E-03
0.3025	6.66E-03		0.6094	6.66E-03
0.3091	5.86E-03		0.6239	5.86E-03
0.3157	5.16E-03		0.6384	5.16E-03
0.3223	4.54E-03		0.6529	4.54E-03
0.3288	3.99E-03		0.6673	3.99E-03
0.3354	3.51E-03		0.6818	3.51E-03
0.3420	3.09E-03		0.6963	3.09E-03
0.3486	2.72E-03		0.7108	2.72E-03
0.3552	2.39E-03		0.7253	2.39E-03
0.3618	2.11E-03		0.7398	2.11E-03
0.3683	1.85E-03		0.7543	1.85E-03
0.3749	1.63E-03		0.7688	1.63E-03
0.3815	1.44E-03		0.7832	1.44E-03
0.3881	1.26E-03		0.7977	1.26E-03
0.3947	1.11E-03		0.8122	1.11E-03
0.3998	9.78E-04		0.8290	9.78E-04
0.4050	8.60E-04		0.8458	8.60E-04
0.4101	7.57E-04		0.8626	7.57E-04
0.4153	6.66E-04		0.8794	6.66E-04
0.4204	5.86E-04		0.8962	5.86E-04
0.4256	5.16E-04		0.9131	5.16E-04
0.4308	4.54E-04		0.9299	4.54E-04
0.4360	3.99E-04		0.9467	3.99E-04
0.4412	3.51E-04		0.9635	3.51E-04
0.4464	3.09E-04		0.9804	3.09E-04
0.4516	2.72E-04		0.9972	2.72E-04
0.4568	2.39E-04		1.0141	2.39E-04
0.4620	2.11E-04		1.0309	2.11E-04
0.4672	1.85E-04		1.0478	1.85E-04
0.4724	1.63E-04		1.0646	1.63E-04
0.4776	1.44E-04		1.0815	1.44E-04
0.4829	1.26E-04		1.0984	1.26E-04
0.4881	1.11E-04		1.1152	1.11E-04
0.4915	9.78E-05		1.1353	9.78E-05
0.4949	8.60E-05		1.1553	8.60E-05
0.4984	7.57E-05		1.1754	7.57E-05
0.5018	6.66E-05		1.1954	6.66E-05
0.5053	5.86E-05		1.2155	5.86E-05
0.5088	5.16E-05		1.2356	5.16E-05
0.5123	4.54E-05		1.2557	4.54E-05
0.5158	3.99E-05		1.2758	3.99E-05
0.5193	3.51E-05		1.2959	3.51E-05
0.5229	3.09E-05		1.3161	3.09E-05
0.5264	2.72E-05		1.3362	2.72E-05
0.5300	2.39E-05		1.3564	2.39E-05
0.5336	2.11E-05		1.3766	2.11E-05
0.5372	1.85E-05		1.3967	1.85E-05
0.5408	1.63E-05		1.4169	1.63E-05
0.5444	1.44E-05		1.4371	1.44E-05
0.5480	1.26E-05		1.4573	1.26E-05
0.5501	1.11E-05		1.4805	1.11E-05
0.5522	9.78E-06		1.5036	9.78E-06
0.5544	8.60E-06		1.5268	8.60E-06
0.5566	7.57E-06		1.5500	7.57E-06
0.5588	6.66E-06		1.5732	6.66E-06
0.5610	5.86E-06		1.5965	5.86E-06
0.5632	5.16E-06		1.6197	5.16E-06
0.5655	4.54E-06		1.6430	4.54E-06
0.5678	3.99E-06		1.6663	3.99E-06
0.5701	3.51E-06		1.6896	3.51E-06
0.5724	3.09E-06		1.7129	3.09E-06
0.5748	2.72E-06		1.7362	2.72E-06
0.5771	2.39E-06		1.7596	2.39E-06
0.5795	2.11E-06		1.7829	2.11E-06
0.5819	1.85E-06		1.8063	1.85E-06
0.5843	1.63E-06		1.8296	1.63E-06
0.5867	1.44E-06		1.8530	1.44E-06
0.5892	1.26E-06		1.8764	1.26E-06
0.5916	1.11E-06		1.8998	1.11E-06
0.5941	9.78E-07		1.9233	9.78E-07
0.5966	8.60E-07		1.9467	8.60E-07
0.5991	7.57E-07		1.9701	7.57E-07
0.6016	6.66E-07		1.9936	6.66E-07
0.6041	5.86E-07		2.0170	5.86E-07
0.6066	5.16E-07		2.0405	5.16E-07
0.6092	4.54E-07		2.0639	4.54E-07
0.6118	3.99E-07		2.0874	3.99E-07
0.6143	3.51E-07		2.1109	3.51E-07
0.6169	3.09E-07		2.1344	3.09E-07
0.6195	2.72E-07		2.1579	2.72E-07
0.6221	2.39E-07		2.1814	2.39E-07
0.6247	2.11E-07		2.2049	2.11E-07
0.6274	1.85E-07		2.2284	1.85E-07
0.6300	1.63E-07		2.2520	1.63E-07
0.6326	1.44E-07		2.2755	1.44E-07
0.6353	1.26E-07		2.2991	1.26E-07
0.6380	1.11E-07		2.3226	1.11E-07
0.6407	9.78E-08		2.3462	9.78E-08
0.6433	8.60E-08		2.3697	8.60E-08
0.6460	7.57E-08		2.3933	7.57E-08
0.6487	6.66E-08		2.4168	6.66E-08
0.6514	5.86E-08		2.4404	5.86E-08
0.6542	5.16E-08		2.4640	5.16E-08
0.6569	4.54E-08		2.4876	4.54E-08
0.6596	3.99E-08		2.5112	3.99E-08
0.6624	3.51E-08		2.5348	3.51E-08
0.6651	3.09E-08		2.5584	3.09E-08
0.6679	2.72E-08		2.5820	2.72E-08
0.6706	2.39E-08		2.6056	2.39E-08
0.6734	2.11E-08		2.6292	2.11E-08
0.6762	1.85E-08		2.6528	1.85E-08
0.6790	1.63E-08		2.6764	1.63E-08
0.6818	1.44E-08		2.7000	1.44E-08
0.6846	1.26E-08		2.7237	1.26E-08
0.6874	1.11E-08		2.7473	1.11E-08
0.6902	9.78E-09		2.7709	9.78E-09
0.6930	8.60E-09		2.7946	8.60E-09
