*
* Overschrijdingskansen potentiele windsnelheid Deelen. Zonder statistische onzekerheid.
* WTI2017: 12-uursmaxima, gegeven windrichting
*
* Door: K.A. Wojciechowska van HKV lijn in water
* Project: PR3280.10
*
* u         NNO             NO              ONO             O               OZO             ZO              ZZO             Z               ZZW             ZW              WZW             W               WNW             NW              NNW             N
  0.00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00 
  2.00      9.596e-01      9.735e-01      9.808e-01      9.828e-01      9.561e-01      9.783e-01      9.886e-01      9.918e-01      9.941e-01      9.945e-01      9.919e-01      9.870e-01      9.830e-01      9.371e-01      9.241e-01      9.112e-01 
  2.50      9.121e-01      9.363e-01      9.424e-01      9.368e-01      9.015e-01      9.242e-01      9.453e-01      9.696e-01      9.798e-01      9.836e-01      9.774e-01      9.670e-01      9.388e-01      8.525e-01      8.403e-01      8.421e-01 
  3.00      8.836e-01      9.168e-01      9.113e-01      9.057e-01      8.429e-01      8.841e-01      9.248e-01      9.562e-01      9.709e-01      9.757e-01      9.670e-01      9.532e-01      9.218e-01      8.308e-01      8.063e-01      7.961e-01 
  3.50      7.672e-01      8.655e-01      8.297e-01      8.138e-01      7.084e-01      7.497e-01      8.474e-01      9.087e-01      9.360e-01      9.535e-01      9.390e-01      9.009e-01      8.588e-01      7.549e-01      7.120e-01      7.105e-01 
  4.00      7.268e-01      8.389e-01      7.866e-01      7.494e-01      6.365e-01      6.696e-01      8.030e-01      8.740e-01      9.103e-01      9.339e-01      9.228e-01      8.797e-01      8.197e-01      7.245e-01      6.662e-01      6.678e-01 
  4.50      6.271e-01      7.274e-01      6.619e-01      6.241e-01      5.087e-01      5.460e-01      6.856e-01      7.927e-01      8.486e-01      8.744e-01      8.612e-01      8.325e-01      7.687e-01      6.529e-01      5.838e-01      5.362e-01 
  5.00      5.891e-01      6.761e-01      6.007e-01      5.529e-01      4.461e-01      4.875e-01      6.390e-01      7.598e-01      8.200e-01      8.450e-01      8.307e-01      8.031e-01      7.143e-01      5.857e-01      5.366e-01      4.836e-01 
  5.50      4.822e-01      5.522e-01      5.072e-01      4.575e-01      3.622e-01      3.759e-01      5.125e-01      6.530e-01      7.491e-01      7.674e-01      7.822e-01      7.583e-01      6.667e-01      5.076e-01      4.503e-01      3.783e-01 
  6.00      4.466e-01      5.044e-01      4.724e-01      4.057e-01      3.049e-01      3.239e-01      4.624e-01      6.128e-01      7.223e-01      7.395e-01      7.449e-01      6.958e-01      5.935e-01      4.469e-01      4.084e-01      3.257e-01 
  6.50      3.159e-01      3.805e-01      3.717e-01      3.103e-01      1.984e-01      2.221e-01      3.087e-01      4.995e-01      6.126e-01      6.693e-01      6.870e-01      6.356e-01      5.357e-01      3.731e-01      3.168e-01      2.336e-01 
  7.00      2.565e-01      3.115e-01      3.046e-01      2.368e-01      1.358e-01      1.647e-01      2.460e-01      4.447e-01      5.577e-01      6.010e-01      6.030e-01      5.295e-01      4.439e-01      2.863e-01      2.679e-01      1.941e-01 
  7.50      1.900e-01      2.265e-01      2.206e-01      1.690e-01      9.055e-02      1.040e-01      1.686e-01      3.397e-01      4.600e-01      5.266e-01      5.414e-01      4.729e-01      3.878e-01      2.256e-01      2.016e-01      1.490e-01 
  8.00      1.520e-01      1.858e-01      1.775e-01      1.322e-01      6.321e-02      8.342e-02      1.333e-01      2.858e-01      4.063e-01      4.646e-01      4.742e-01      4.009e-01      3.367e-01      1.887e-01      1.571e-01      1.144e-01 
  8.50      1.091e-01      1.027e-01      1.211e-01      9.337e-02      4.413e-02      5.704e-02      8.884e-02      1.963e-01      3.234e-01      3.964e-01      4.244e-01      3.420e-01      2.891e-01      1.453e-01      1.220e-01      8.778e-02 
  9.00      7.834e-02      7.326e-02      8.633e-02      6.596e-02      3.081e-02      3.900e-02      6.834e-02      1.434e-01      2.589e-01      3.178e-01      3.485e-01      2.960e-01      2.415e-01      1.188e-01      9.474e-02      6.738e-02 
  9.50      5.624e-02      5.228e-02      5.868e-02      4.293e-02      2.151e-02      2.667e-02      4.844e-02      9.680e-02      1.914e-01      2.636e-01      2.876e-01      2.618e-01      1.845e-01      9.712e-02      7.358e-02      5.172e-02 
 10.00      4.037e-02      3.731e-02      3.988e-02      2.768e-02      1.501e-02      1.823e-02      3.434e-02      7.123e-02      1.423e-01      2.083e-01      2.373e-01      2.241e-01      1.514e-01      7.939e-02      5.715e-02      3.970e-02 
 10.50      2.898e-02      2.662e-02      2.641e-02      1.786e-02      9.698e-03      1.201e-02      2.434e-02      5.046e-02      1.097e-01      1.757e-01      1.865e-01      1.958e-01      1.310e-01      6.490e-02      4.438e-02      3.048e-02 
 11.00      2.080e-02      1.900e-02      1.749e-02      1.152e-02      6.264e-03      7.911e-03      1.725e-02      3.574e-02      7.600e-02      1.339e-01      1.457e-01      1.557e-01      1.105e-01      5.305e-02      3.447e-02      2.340e-02 
 11.50      1.383e-02      1.324e-02      1.141e-02      7.427e-03      4.046e-03      5.212e-03      1.158e-02      2.532e-02      5.657e-02      1.101e-01      1.139e-01      1.238e-01      8.983e-02      4.337e-02      2.677e-02      1.796e-02 
 12.00      9.192e-03      9.220e-03      7.432e-03      4.790e-03      2.614e-03      3.433e-03      7.777e-03      1.793e-02      3.714e-02      7.494e-02      8.902e-02      1.073e-01      7.299e-02      3.545e-02      2.079e-02      1.199e-02 
 12.50      5.861e-03      5.999e-03      4.841e-03      3.089e-03      1.608e-03      2.125e-03      5.222e-03      1.226e-02      2.641e-02      5.633e-02      6.957e-02      8.019e-02      5.931e-02      2.898e-02      1.615e-02      8.011e-03 
 13.00      3.720e-03      3.875e-03      3.154e-03      1.992e-03      9.857e-04      1.306e-03      3.506e-03      8.379e-03      1.877e-02      3.669e-02      5.437e-02      6.475e-02      4.820e-02      2.369e-02      1.254e-02      5.111e-03 
 13.50      2.362e-03      2.503e-03      2.054e-03      1.285e-03      6.051e-04      8.035e-04      2.258e-03      5.561e-03      1.335e-02      2.649e-02      4.249e-02      5.157e-02      3.916e-02      1.936e-02      9.741e-03      3.244e-03 
 14.00      1.499e-03      1.617e-03      1.338e-03      8.287e-04      3.721e-04      4.943e-04      1.449e-03      3.679e-03      9.488e-03      2.008e-02      3.321e-02      4.106e-02      3.182e-02      1.583e-02      6.846e-03      2.059e-03 
 14.50      9.514e-04      1.045e-03      8.719e-04      5.345e-04      2.292e-04      3.043e-04      9.311e-04      2.433e-03      6.745e-03      1.525e-02      2.596e-02      3.270e-02      2.518e-02      1.294e-02      4.811e-03      1.307e-03 
 15.00      6.039e-04      6.753e-04      5.680e-04      3.447e-04      1.414e-04      1.873e-04      5.988e-04      1.610e-03      4.795e-03      1.161e-02      2.029e-02      2.604e-02      1.993e-02      1.058e-02      3.279e-03      8.296e-04 
 15.50      3.833e-04      4.365e-04      3.700e-04      2.223e-04      8.738e-05      1.154e-04      3.854e-04      1.065e-03      3.409e-03      8.852e-03      1.585e-02      2.055e-02      1.577e-02      8.647e-03      2.227e-03      5.266e-04 
 16.00      2.433e-04      2.822e-04      2.411e-04      1.434e-04      5.409e-05      7.107e-05      2.484e-04      7.044e-04      2.423e-03      6.764e-03      1.239e-02      1.619e-02      1.248e-02      6.915e-03      1.513e-03      3.342e-04 
 16.50      1.544e-04      1.825e-04      1.570e-04      9.247e-05      3.354e-05      4.379e-05      1.602e-04      4.660e-04      1.705e-03      5.178e-03      9.685e-03      1.276e-02      9.682e-03      5.530e-03      1.028e-03      2.122e-04 
 17.00      9.803e-05      1.180e-04      1.023e-04      5.964e-05      2.083e-05      2.699e-05      1.034e-04      3.083e-04      1.199e-03      3.970e-03      7.570e-03      1.006e-02      7.494e-03      4.223e-03      6.982e-04      1.347e-04 
 17.50      6.222e-05      7.633e-05      6.666e-05      3.846e-05      1.296e-05      1.664e-05      6.681e-05      2.039e-04      8.436e-04      3.049e-03      5.916e-03      7.927e-03      5.802e-03      3.212e-03      4.744e-04      8.548e-05 
 18.00      3.949e-05      4.938e-05      4.343e-05      2.481e-05      8.078e-06      1.026e-05      4.321e-05      1.349e-04      5.934e-04      2.345e-03      4.624e-03      6.247e-03      4.493e-03      2.446e-03      3.224e-04      5.425e-05 
 18.50      2.507e-05      3.195e-05      2.829e-05      1.600e-05      5.042e-06      6.333e-06      2.797e-05      8.924e-05      4.159e-04      1.806e-03      3.614e-03      4.924e-03      3.479e-03      1.864e-03      2.192e-04      3.444e-05 
 19.00      1.591e-05      2.067e-05      1.843e-05      1.032e-05      3.152e-06      3.908e-06      1.812e-05      5.903e-05      2.913e-04      1.392e-03      2.825e-03      3.881e-03      2.695e-03      1.421e-03      1.490e-04      2.186e-05 
 19.50      1.010e-05      1.338e-05      1.201e-05      6.655e-06      1.974e-06      2.412e-06      1.175e-05      3.905e-05      2.041e-04      1.075e-03      2.208e-03      3.058e-03      2.088e-03      1.084e-03      1.013e-04      1.387e-05 
 20.00      6.411e-06      8.662e-06      7.825e-06      4.292e-06      1.238e-06      1.489e-06      7.628e-06      2.583e-05      1.430e-04      8.305e-04      1.726e-03      2.410e-03      1.617e-03      8.281e-04      6.885e-05      8.807e-06 
