*
* Overschrijdingskansen potentiele windsnelheid Schiphol (Volkerfac). Met statistische onzekerheid.
* WTI2017: 12-uursmaxima, gegeven windrichting
*
* Door: K.A. Wojciechowska van HKV lijn in water
* Project: PR3280.10
*
* u         NNO             NO              ONO             O               OZO             ZO              ZZO             Z               ZZW             ZW              WZW             W               WNW             NW              NNW             N
  0.00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00 
  2.00      9.731e-01      9.911e-01      9.956e-01      9.934e-01      9.903e-01      9.901e-01      9.975e-01      9.950e-01      9.965e-01      9.959e-01      9.975e-01      9.982e-01      9.946e-01      9.927e-01      9.940e-01      9.847e-01 
  2.50      9.446e-01      9.744e-01      9.734e-01      9.636e-01      9.656e-01      9.672e-01      9.796e-01      9.811e-01      9.881e-01      9.841e-01      9.932e-01      9.890e-01      9.807e-01      9.692e-01      9.688e-01      9.388e-01 
  3.00      9.122e-01      9.464e-01      9.567e-01      9.259e-01      9.213e-01      9.282e-01      9.469e-01      9.599e-01      9.753e-01      9.706e-01      9.868e-01      9.785e-01      9.637e-01      9.422e-01      9.391e-01      8.850e-01 
  3.50      8.530e-01      8.861e-01      9.121e-01      8.504e-01      8.383e-01      8.543e-01      8.871e-01      9.129e-01      9.517e-01      9.501e-01      9.685e-01      9.636e-01      9.322e-01      9.007e-01      8.892e-01      7.922e-01 
  4.00      7.882e-01      8.337e-01      8.664e-01      7.806e-01      7.571e-01      7.798e-01      8.132e-01      8.684e-01      9.243e-01      9.279e-01      9.475e-01      9.452e-01      8.973e-01      8.576e-01      8.371e-01      7.017e-01 
  4.50      7.061e-01      7.663e-01      7.921e-01      6.762e-01      6.418e-01      6.688e-01      7.202e-01      8.043e-01      8.842e-01      9.007e-01      9.203e-01      9.141e-01      8.534e-01      8.104e-01      7.789e-01      6.123e-01 
  5.00      6.258e-01      7.097e-01      7.258e-01      6.039e-01      5.448e-01      5.817e-01      6.523e-01      7.396e-01      8.343e-01      8.703e-01      8.904e-01      8.802e-01      8.099e-01      7.617e-01      7.210e-01      5.329e-01 
  5.50      5.095e-01      6.395e-01      6.362e-01      5.208e-01      4.443e-01      4.919e-01      5.710e-01      6.666e-01      7.717e-01      8.311e-01      8.546e-01      8.436e-01      7.692e-01      7.063e-01      6.611e-01      4.641e-01 
  6.00      4.347e-01      5.692e-01      5.636e-01      4.447e-01      3.616e-01      4.058e-01      4.860e-01      5.879e-01      7.065e-01      7.857e-01      8.160e-01      8.063e-01      7.271e-01      6.485e-01      5.984e-01      4.006e-01 
  6.50      3.633e-01      4.884e-01      4.900e-01      3.615e-01      2.638e-01      3.145e-01      4.034e-01      5.011e-01      6.440e-01      7.295e-01      7.728e-01      7.676e-01      6.781e-01      5.852e-01      5.267e-01      3.361e-01 
  7.00      2.995e-01      4.183e-01      4.229e-01      2.950e-01      1.856e-01      2.302e-01      3.312e-01      4.242e-01      5.772e-01      6.723e-01      7.289e-01      7.237e-01      6.262e-01      5.216e-01      4.575e-01      2.751e-01 
  7.50      2.511e-01      3.482e-01      3.518e-01      2.239e-01      1.243e-01      1.595e-01      2.608e-01      3.537e-01      5.136e-01      6.181e-01      6.848e-01      6.696e-01      5.712e-01      4.574e-01      3.943e-01      2.172e-01 
  8.00      2.127e-01      2.828e-01      2.940e-01      1.584e-01      8.442e-02      1.130e-01      1.989e-01      2.932e-01      4.496e-01      5.684e-01      6.380e-01      6.130e-01      5.147e-01      3.931e-01      3.364e-01      1.679e-01 
  8.50      1.722e-01      2.257e-01      2.417e-01      1.100e-01      5.940e-02      8.079e-02      1.491e-01      2.391e-01      3.897e-01      5.231e-01      5.858e-01      5.580e-01      4.570e-01      3.283e-01      2.826e-01      1.287e-01 
  9.00      1.347e-01      1.779e-01      1.925e-01      7.605e-02      4.177e-02      5.690e-02      1.112e-01      1.922e-01      3.337e-01      4.790e-01      5.312e-01      5.063e-01      4.015e-01      2.701e-01      2.353e-01      9.866e-02 
  9.50      1.049e-01      1.337e-01      1.407e-01      5.232e-02      2.900e-02      3.994e-02      8.255e-02      1.525e-01      2.827e-01      4.336e-01      4.763e-01      4.583e-01      3.502e-01      2.225e-01      1.952e-01      7.616e-02 
 10.00      8.165e-02      9.733e-02      9.484e-02      3.586e-02      1.995e-02      2.805e-02      6.015e-02      1.204e-01      2.352e-01      3.887e-01      4.231e-01      4.132e-01      3.044e-01      1.850e-01      1.595e-01      5.903e-02 
 10.50      6.358e-02      7.093e-02      6.247e-02      2.455e-02      1.367e-02      1.970e-02      4.309e-02      9.413e-02      1.925e-01      3.459e-01      3.729e-01      3.699e-01      2.640e-01      1.555e-01      1.268e-01      4.566e-02 
 11.00      4.949e-02      5.183e-02      4.144e-02      1.681e-02      9.292e-03      1.383e-02      3.072e-02      7.118e-02      1.560e-01      3.055e-01      3.266e-01      3.276e-01      2.264e-01      1.297e-01      9.832e-02      3.518e-02 
 11.50      3.841e-02      3.784e-02      2.807e-02      1.152e-02      6.219e-03      9.699e-03      2.186e-02      5.246e-02      1.260e-01      2.675e-01      2.841e-01      2.861e-01      1.896e-01      1.049e-01      7.506e-02      2.697e-02 
 12.00      2.952e-02      2.748e-02      1.940e-02      7.890e-03      4.101e-03      6.749e-03      1.549e-02      3.832e-02      1.010e-01      2.317e-01      2.443e-01      2.460e-01      1.548e-01      8.272e-02      5.674e-02      2.058e-02 
 12.50      2.231e-02      1.974e-02      1.354e-02      5.408e-03      2.689e-03      4.622e-03      1.087e-02      2.778e-02      7.952e-02      1.980e-01      2.067e-01      2.076e-01      1.235e-01      6.448e-02      4.263e-02      1.567e-02 
 13.00      1.660e-02      1.400e-02      9.469e-03      3.707e-03      1.762e-03      3.103e-03      7.565e-03      2.001e-02      6.178e-02      1.663e-01      1.720e-01      1.704e-01      9.686e-02      5.003e-02      3.189e-02      1.197e-02 
 13.50      1.224e-02      9.812e-03      6.627e-03      2.542e-03      1.157e-03      2.042e-03      5.245e-03      1.437e-02      4.763e-02      1.372e-01      1.409e-01      1.347e-01      7.536e-02      3.868e-02      2.376e-02      9.262e-03 
 14.00      8.940e-03      6.818e-03      4.638e-03      1.744e-03      7.607e-04      1.322e-03      3.633e-03      1.028e-02      3.661e-02      1.110e-01      1.135e-01      1.025e-01      5.842e-02      2.979e-02      1.763e-02      7.245e-03 
 14.50      6.446e-03      4.717e-03      3.248e-03      1.197e-03      5.011e-04      8.486e-04      2.515e-03      7.308e-03      2.812e-02      8.817e-02      8.961e-02      7.533e-02      4.515e-02      2.284e-02      1.307e-02      5.682e-03 
