*
* Overschrijdingskansen potentiele windsnelheid Schiphol. Zonder statistische onzekerheid.
* WTI2017: 12-uursmaxima, gegeven windrichting
*
* Door: K.A. Wojciechowska van HKV lijn in water
* Project: PR3280.10
*
* u         NNO             NO              ONO             O               OZO             ZO              ZZO             Z               ZZW             ZW              WZW             W               WNW             NW              NNW             N
  0.00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00 
  2.00      9.751e-01      9.924e-01      9.977e-01      9.960e-01      9.922e-01      9.918e-01      9.989e-01      9.962e-01      9.971e-01      9.969e-01      9.979e-01      9.991e-01      9.958e-01      9.947e-01      9.962e-01      9.886e-01 
  2.50      9.448e-01      9.753e-01      9.722e-01      9.640e-01      9.674e-01      9.687e-01      9.810e-01      9.816e-01      9.886e-01      9.838e-01      9.916e-01      9.897e-01      9.842e-01      9.627e-01      9.638e-01      9.336e-01 
  3.00      9.171e-01      9.525e-01      9.618e-01      9.332e-01      9.286e-01      9.347e-01      9.515e-01      9.647e-01      9.772e-01      9.719e-01      9.888e-01      9.794e-01      9.663e-01      9.449e-01      9.429e-01      8.924e-01 
  3.50      8.536e-01      8.840e-01      9.109e-01      8.478e-01      8.370e-01      8.531e-01      8.892e-01      9.117e-01      9.521e-01      9.470e-01      9.656e-01      9.616e-01      9.284e-01      8.845e-01      8.800e-01      7.712e-01 
  4.00      7.956e-01      8.403e-01      8.762e-01      7.944e-01      7.702e-01      7.932e-01      8.217e-01      8.748e-01      9.276e-01      9.295e-01      9.494e-01      9.486e-01      9.003e-01      8.597e-01      8.400e-01      7.048e-01 
  4.50      7.017e-01      7.624e-01      7.870e-01      6.662e-01      6.366e-01      6.626e-01      7.131e-01      8.041e-01      8.865e-01      8.952e-01      9.143e-01      9.083e-01      8.413e-01      7.904e-01      7.657e-01      5.858e-01 
  5.00      6.492e-01      7.186e-01      7.407e-01      6.155e-01      5.559e-01      5.891e-01      6.614e-01      7.450e-01      8.391e-01      8.740e-01      8.932e-01      8.821e-01      8.104e-01      7.655e-01      7.238e-01      5.332e-01 
  5.50      4.917e-01      6.369e-01      6.273e-01      5.154e-01      4.348e-01      4.912e-01      5.728e-01      6.682e-01      7.747e-01      8.284e-01      8.496e-01      8.321e-01      7.584e-01      6.927e-01      6.743e-01      4.645e-01 
  6.00      4.448e-01      5.817e-01      5.741e-01      4.593e-01      3.820e-01      4.150e-01      4.916e-01      5.975e-01      7.056e-01      7.923e-01      8.194e-01      8.082e-01      7.317e-01      6.536e-01      6.057e-01      4.050e-01 
