*
* Overschrijdingskansen potentiele windsnelheid Schiphol. Met statistische onzekerheid.
* WTI2017: 12-uursmaxima, gegeven windrichting
*
* Door: K.A. Wojciechowska van HKV lijn in water
* Project: PR3280.10
*
* u         NNO             NO              ONO             O               OZO             ZO              ZZO             Z               ZZW             ZW              WZW             W               WNW             NW              NNW             N
  0.00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00 
  2.00      9.731e-01      9.911e-01      9.956e-01      9.934e-01      9.903e-01      9.901e-01      9.975e-01      9.950e-01      9.965e-01      9.958e-01      9.974e-01      9.983e-01      9.949e-01      9.921e-01      9.936e-01      9.842e-01 
  2.50      9.446e-01      9.744e-01      9.734e-01      9.636e-01      9.656e-01      9.672e-01      9.796e-01      9.811e-01      9.881e-01      9.837e-01      9.918e-01      9.894e-01      9.834e-01      9.637e-01      9.645e-01      9.342e-01 
  3.00      9.122e-01      9.464e-01      9.567e-01      9.259e-01      9.213e-01      9.282e-01      9.469e-01      9.599e-01      9.753e-01      9.701e-01      9.862e-01      9.783e-01      9.635e-01      9.394e-01      9.373e-01      8.815e-01 
  3.50      8.530e-01      8.861e-01      9.121e-01      8.504e-01      8.383e-01      8.543e-01      8.871e-01      9.129e-01      9.517e-01      9.475e-01      9.661e-01      9.619e-01      9.290e-01      8.883e-01      8.819e-01      7.760e-01 
  4.00      7.882e-01      8.337e-01      8.664e-01      7.806e-01      7.571e-01      7.798e-01      8.132e-01      8.684e-01      9.243e-01      9.264e-01      9.460e-01      9.439e-01      8.946e-01      8.519e-01      8.335e-01      6.942e-01 
  4.50      7.061e-01      7.663e-01      7.921e-01      6.762e-01      6.418e-01      6.688e-01      7.202e-01      8.043e-01      8.842e-01      8.966e-01      9.159e-01      9.098e-01      8.448e-01      7.965e-01      7.696e-01      5.941e-01 
  5.00      6.258e-01      7.097e-01      7.258e-01      6.039e-01      5.448e-01      5.817e-01      6.523e-01      7.396e-01      8.343e-01      8.686e-01      8.882e-01      8.768e-01      8.054e-01      7.553e-01      7.210e-01      5.283e-01 
  5.50      5.095e-01      6.395e-01      6.362e-01      5.208e-01      4.443e-01      4.919e-01      5.710e-01      6.666e-01      7.717e-01      8.289e-01      8.510e-01      8.361e-01      7.622e-01      6.975e-01      6.685e-01      4.640e-01 
  6.00      4.347e-01      5.692e-01      5.636e-01      4.447e-01      3.616e-01      4.058e-01      4.860e-01      5.879e-01      7.065e-01      7.859e-01      8.133e-01      8.019e-01      7.249e-01      6.464e-01      6.050e-01      4.006e-01 
  6.50      3.633e-01      4.884e-01      4.900e-01      3.615e-01      2.638e-01      3.145e-01      4.034e-01      5.011e-01      6.440e-01      7.316e-01      7.688e-01      7.624e-01      6.782e-01      5.872e-01      5.376e-01      3.363e-01 
  7.00      2.995e-01      4.183e-01      4.229e-01      2.950e-01      1.856e-01      2.302e-01      3.312e-01      4.242e-01      5.772e-01      6.716e-01      7.259e-01      7.218e-01      6.251e-01      5.244e-01      4.656e-01      2.760e-01 
