*
* Overschrijdingskansen potentiele windsnelheid Vlissingen met winddrag. Met statistische onzekerheid.
* WTI2017: 12-uursmaxima, gegeven windrichting
*
* Door: Chris Geerse van HKV lijn in water
* Project: PR3556.10
* Datum: augustus 2017
*
* u         NNO            NO             ONO            O              OZO            ZO             ZZO            Z              ZZW            ZW             WZW            W              WNW            NW             NNW            N
  0.00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00 
  2.00      9.824e-01      9.861e-01      9.899e-01      9.952e-01      9.907e-01      9.907e-01      9.932e-01      9.968e-01      9.969e-01      9.972e-01      9.975e-01      9.978e-01      9.965e-01      9.972e-01      9.962e-01      9.806e-01 
  2.50      9.582e-01      9.711e-01      9.795e-01      9.798e-01      9.715e-01      9.743e-01      9.821e-01      9.901e-01      9.931e-01      9.937e-01      9.939e-01      9.937e-01      9.871e-01      9.834e-01      9.772e-01      9.563e-01 
  3.00      8.995e-01      9.239e-01      9.436e-01      9.517e-01      9.454e-01      9.489e-01      9.609e-01      9.793e-01      9.844e-01      9.843e-01      9.831e-01      9.813e-01      9.595e-01      9.474e-01      9.349e-01      9.121e-01 
  3.50      8.383e-01      8.729e-01      9.003e-01      9.073e-01      8.959e-01      9.032e-01      9.254e-01      9.585e-01      9.727e-01      9.742e-01      9.727e-01      9.669e-01      9.360e-01      9.138e-01      8.892e-01      8.604e-01 
  4.00      7.386e-01      7.827e-01      8.193e-01      8.307e-01      8.126e-01      8.295e-01      8.699e-01      9.223e-01      9.514e-01      9.529e-01      9.486e-01      9.398e-01      9.004e-01      8.635e-01      8.187e-01      7.743e-01 
  4.50      6.636e-01      7.099e-01      7.499e-01      7.665e-01      7.307e-01      7.489e-01      8.054e-01      8.851e-01      9.238e-01      9.275e-01      9.238e-01      9.133e-01      8.624e-01      8.173e-01      7.629e-01      7.040e-01 
  5.00      5.779e-01      6.228e-01      6.633e-01      6.894e-01      6.438e-01      6.681e-01      7.415e-01      8.443e-01      8.875e-01      8.910e-01      8.856e-01      8.688e-01      8.057e-01      7.489e-01      6.802e-01      6.106e-01 
  5.50      5.061e-01      5.429e-01      5.790e-01      6.071e-01      5.481e-01      5.730e-01      6.611e-01      7.925e-01      8.471e-01      8.542e-01      8.496e-01      8.224e-01      7.545e-01      6.893e-01      6.103e-01      5.410e-01 
  6.00      4.255e-01      4.595e-01      4.958e-01      5.290e-01      4.728e-01      4.968e-01      5.910e-01      7.435e-01      8.076e-01      8.173e-01      8.138e-01      7.837e-01      6.978e-01      6.219e-01      5.348e-01      4.650e-01 
  6.50      3.637e-01      3.968e-01      4.274e-01      4.424e-01      3.924e-01      4.112e-01      5.058e-01      6.775e-01      7.538e-01      7.681e-01      7.680e-01      7.412e-01      6.420e-01      5.635e-01      4.774e-01      4.024e-01 
  7.00      2.969e-01      3.229e-01      3.492e-01      3.634e-01      3.171e-01      3.344e-01      4.296e-01      6.097e-01      6.951e-01      7.161e-01      7.218e-01      6.928e-01      5.765e-01      4.965e-01      4.151e-01      3.401e-01 
  7.50      2.370e-01      2.537e-01      2.739e-01      2.875e-01      2.441e-01      2.625e-01      3.583e-01      5.394e-01      6.355e-01      6.631e-01      6.743e-01      6.435e-01      5.176e-01      4.342e-01      3.524e-01      2.821e-01 
  8.00      1.871e-01      2.003e-01      2.163e-01      2.254e-01      1.834e-01      2.045e-01      3.009e-01      4.779e-01      5.827e-01      6.154e-01      6.301e-01      5.947e-01      4.619e-01      3.734e-01      2.884e-01      2.259e-01 
  8.50      1.495e-01      1.567e-01      1.667e-01      1.722e-01      1.329e-01      1.555e-01      2.484e-01      4.139e-01      5.241e-01      5.620e-01      5.814e-01      5.436e-01      4.077e-01      3.175e-01      2.331e-01      1.801e-01 
  9.00      1.146e-01      1.191e-01      1.267e-01      1.317e-01      9.156e-02      1.129e-01      2.004e-01      3.536e-01      4.653e-01      5.082e-01      5.331e-01      4.944e-01      3.528e-01      2.622e-01      1.814e-01      1.408e-01 
  9.50      8.306e-02      8.734e-02      9.497e-02      1.004e-01      6.454e-02      8.111e-02      1.578e-01      2.967e-01      4.078e-01      4.542e-01      4.832e-01      4.454e-01      3.034e-01      2.165e-01      1.426e-01      1.095e-01 
 10.00      5.849e-02      6.271e-02      6.937e-02      7.228e-02      4.662e-02      6.068e-02      1.243e-01      2.419e-01      3.501e-01      4.008e-01      4.353e-01      3.985e-01      2.605e-01      1.805e-01      1.153e-01      8.297e-02 
 10.50      4.080e-02      4.388e-02      4.876e-02      4.981e-02      3.349e-02      4.662e-02      9.917e-02      1.960e-01      3.002e-01      3.551e-01      3.948e-01      3.571e-01      2.233e-01      1.503e-01      9.339e-02      6.105e-02 
 11.00      2.845e-02      3.000e-02      3.299e-02      3.268e-02      2.373e-02      3.500e-02      7.797e-02      1.589e-01      2.583e-01      3.152e-01      3.577e-01      3.192e-01      1.887e-01      1.220e-01      7.378e-02      4.462e-02 
 11.50      1.985e-02      2.038e-02      2.193e-02      2.037e-02      1.662e-02      2.555e-02      6.039e-02      1.291e-01      2.217e-01      2.777e-01      3.203e-01      2.808e-01      1.563e-01      9.670e-02      5.686e-02      3.261e-02 
 12.00      1.386e-02      1.384e-02      1.454e-02      1.247e-02      1.166e-02      1.850e-02      4.618e-02      1.030e-01      1.869e-01      2.409e-01      2.824e-01      2.413e-01      1.281e-01      7.609e-02      4.353e-02      2.383e-02 
 12.50      9.645e-03      9.381e-03      9.652e-03      7.626e-03      8.220e-03      1.339e-02      3.469e-02      7.964e-02      1.541e-01      2.059e-01      2.463e-01      2.048e-01      1.042e-01      5.961e-02      3.330e-02      1.742e-02 
 13.00      6.624e-03      6.314e-03      6.421e-03      4.686e-03      5.821e-03      9.682e-03      2.575e-02      6.024e-02      1.243e-01      1.729e-01      2.120e-01      1.748e-01      8.482e-02      4.652e-02      2.549e-02      1.274e-02 
 13.50      4.434e-03      4.192e-03      4.288e-03      2.931e-03      4.118e-03      6.982e-03      1.905e-02      4.531e-02      9.827e-02      1.427e-01      1.799e-01      1.499e-01      6.936e-02      3.632e-02      1.951e-02      9.306e-03 
 14.00      2.900e-03      2.747e-03      2.878e-03      1.900e-03      2.895e-03      5.009e-03      1.420e-02      3.444e-02      7.716e-02      1.161e-01      1.499e-01      1.276e-01      5.669e-02      2.842e-02      1.493e-02      6.778e-03 
 14.50      1.877e-03      1.790e-03      1.938e-03      1.278e-03      2.019e-03      3.573e-03      1.058e-02      2.614e-02      6.050e-02      9.317e-02      1.224e-01      1.080e-01      4.632e-02      2.226e-02      1.143e-02      4.886e-03 
 15.00      1.211e-03      1.166e-03      1.307e-03      8.763e-04      1.404e-03      2.537e-03      7.762e-03      1.942e-02      4.734e-02      7.425e-02      9.897e-02      9.138e-02      3.788e-02      1.745e-02      8.730e-03      3.459e-03 
