*
* Ovkansen potentiele windsnelheid Vlissingen met aanpassing voor winddrag
* WBI2017: 12-uursmaxima, gegeven windrichting
*
* Project: PR3556.10
* Door:    Chris Geerse van HKV lijn in water
* Datum:   augustus 2017
*
*
* u, m/s    NNO            NO             ONO            O              OZO            ZO             ZZO            Z              ZZW            ZW             WZW            W              WNW            NW             NNW            N
  0.00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00 
  2.00      9.837e-01      9.868e-01      9.903e-01      9.962e-01      9.920e-01      9.918e-01      9.939e-01      9.973e-01      9.971e-01      9.974e-01      9.977e-01      9.980e-01      9.970e-01      9.980e-01      9.974e-01      9.820e-01 
  2.50      9.624e-01      9.749e-01      9.824e-01      9.811e-01      9.721e-01      9.751e-01      9.831e-01      9.905e-01      9.937e-01      9.944e-01      9.947e-01      9.947e-01      9.893e-01      9.861e-01      9.800e-01      9.587e-01 
  3.00      8.992e-01      9.236e-01      9.438e-01      9.533e-01      9.481e-01      9.514e-01      9.626e-01      9.804e-01      9.846e-01      9.842e-01      9.828e-01      9.813e-01      9.587e-01      9.468e-01      9.349e-01      9.126e-01 
  3.50      8.476e-01      8.817e-01      9.083e-01      9.141e-01      9.025e-01      9.082e-01      9.288e-01      9.613e-01      9.743e-01      9.762e-01      9.753e-01      9.695e-01      9.387e-01      9.178e-01      8.953e-01      8.684e-01 
  4.00      7.337e-01      7.790e-01      8.166e-01      8.283e-01      8.134e-01      8.323e-01      8.728e-01      9.227e-01      9.524e-01      9.533e-01      9.481e-01      9.389e-01      9.000e-01      8.617e-01      8.146e-01      7.701e-01 
  4.50      6.711e-01      7.173e-01      7.571e-01      7.715e-01      7.330e-01      7.491e-01      8.048e-01      8.858e-01      9.260e-01      9.306e-01      9.279e-01      9.183e-01      8.686e-01      8.255e-01      7.734e-01      7.151e-01 
  5.00      5.734e-01      6.207e-01      6.634e-01      6.932e-01      6.515e-01      6.776e-01      7.503e-01      8.495e-01      8.897e-01      8.917e-01      8.853e-01      8.702e-01      8.035e-01      7.451e-01      6.754e-01      6.031e-01 
  5.50      5.164e-01      5.514e-01      5.844e-01      6.061e-01      5.418e-01      5.659e-01      6.555e-01      7.894e-01      8.457e-01      8.536e-01      8.494e-01      8.206e-01      7.596e-01      6.970e-01      6.191e-01      5.501e-01 
  6.00      4.171e-01      4.505e-01      4.905e-01      5.379e-01      4.815e-01      5.081e-01      6.039e-01      7.537e-01      8.149e-01      8.238e-01      8.194e-01      7.863e-01      6.958e-01      6.165e-01      5.267e-01      4.597e-01 
