*---------------------------------------------------------------------------------------
* File     : Final_FreqCurve_Maas_SOBEK_TwOZA125_SigmaFromQ.tab
* Contents : Table with estimate and uncertainty for a set of return periods
* Date&Time: 2016-07-14, 18:03:23.030
*---------------------------------------------------------------------------------------
*
*  _______________________________________________________
* | From Return Period (Column 1) to Discharge (Column 3) |
*  ¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯
*-------+----------+---------+--------------+------------+------------+----------------+
* Return|Horizontal|Estimate |Spread: Stand.|Lower Bound | Upper Bound|  Width of the  |
* Period|  Gumbel  |Discharge| Error in Mean|Cfd.Interval|Cfd.Interval| Conf. Interval |
*     1 |Plot. Pos.|    3    |       4      |      5     |      6     |         7      |
*-------+----------+---------+--------------+------------+------------+----------------+
BL01
40  7
      2   0.366513    1439           87           1269          1609            340
      3   0.902720    1687           99           1493          1881            387
      4   1.245899    1851          110           1635          2067            431
      5   1.499940    1971          119           1738          2204            466
      6   1.701983    2067          124           1824          2309            485
      7   1.869825    2144          134           1881          2406            525
      8   2.013419    2204          138           1932          2475            542
      9   2.138911    2255          143           1975          2535            560
     10   2.250367    2302          148           2012          2592            580
     15   2.673752    2480          185           2119          2842            723
     20   2.970195    2603          211           2188          3017            829
     25   3.198534    2698          228           2252          3145            892
     30   3.384294    2776          245           2296          3257            961
     50   3.901939    2965          274           2428          3503           1075
     70   4.241309    3102          286           2541          3663           1122
    100   4.600149    3224          294           2649          3800           1151
    200   5.295812    3463          286           2902          4024           1122
    250   5.519458    3520          289           2954          4086           1132
    300   5.702113    3573          293           2999          4146           1147
    500   6.213607    3701          309           3096          4306           1210
    700   6.550366    3779          323           3147          4411           1265
   1000   6.907255    3862          340           3195          4529           1334
   1250   7.130499    3914          353           3223          4605           1382
   2000   7.600652    4024          381           3276          4771           1495
   2500   7.823846    4075          396           3299          4852           1553
   3000   8.006201    4118          409           3317          4919           1602
   4000   8.293925    4185          429           3344          5026           1683
   5000   8.517093    4237          446           3363          5111           1748
   7000   8.853594    4315          472           3391          5240           1849
  10000   9.210290    4398          500           3419          5378           1959
  20000   9.903463    4560          557           3469          5651           2183
  25000  10.126611    4612          576           3484          5740           2257
  30000  10.308936    4654          591           3496          5813           2318
  50000  10.819768    4773          635           3528          6019           2491
  70000  11.156243    4852          665           3548          6155           2607
 100000  11.512920    4935          697           3569          6300           2731
 200000  12.206070    5096          759           3608          6584           2976
 250000  12.429214    5148          779           3621          6676           3055
 300000  12.611536    5191          796           3630          6751           3121
 400000  12.899219    5258          822           3646          6870           3224
*---------------------------------------------------------------------------------------
*
*  _______________________________________________________
* | From Discharge (Column 3) to Return Period (Column 1) |
*  ¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯
*----------+----------+------------+--------------+------------+------------+-------------+
* Return   |Horizontal|Estimate of |Spread: Stand.|Lower Bound | Upper Bound|Width of the |
*    Period|  Gumbel  |   Discharge| Error in Mean|Cfd.Interval|Cfd.Interval|Conf.Interval|
*        1 |Plot. Pos.|         3  |         4    |       5    |       6    |       7     |
*----------+----------+------------+--------------+------------+------------+-------------+
BL02
51  7
      1.000  -2.207057          200          150          -93          493          586
      1.001  -2.012289          300           89          125          475          350
      1.003  -1.782294          400           70          262          538          275
      1.008  -1.577698          500           69          364          636          272
      1.018  -1.388496          600           66          470          730          260
      1.040  -1.181909          700           66          570          830          259
      1.075  -0.979051          800           64          675          925          249
      1.130  -0.772539          900           63          777         1023          246
      1.206  -0.570303         1000           66          871         1129          257
      1.311  -0.363888         1100           72          959         1241          282
      1.454  -0.152256         1200           78         1047         1353          306
      1.646   0.066587         1300           79         1144         1456          311
      1.892   0.284758         1400           84         1235         1565          331
      2.190   0.494172         1500           89         1325         1675          350
      2.581   0.713048         1600           94         1415         1785          369
      3.064   0.928509         1700          100         1503         1897          393
      3.652   1.139406         1800          107         1591         2009          418
      4.381   1.350451         1900          115         1675         2125          450
      5.298   1.564533         2000          119         1766         2234          468
      6.408   1.773840         2100          128         1849         2351          502
      7.935   2.004623         2200          138         1929         2471          542
      9.955   2.245598         2300          148         2010         2590          580
     12.405   2.476361         2400          167         2073         2727          654
     15.688   2.720120         2500          189         2130         2870          739
     19.937   2.966959         2600          211         2186         3014          827
     25.061   3.201032         2700          228         2254         3146          892
     31.708   3.440576         2800          252         2305         3295          990
     41.040   3.702234         2900          265         2381         3419         1038
     54.396   3.987030         3000          277         2456         3544         1087
     69.733   4.237467         3100          286         2539         3661         1122
     94.021   4.538181         3200          291         2630         3770         1141
    120.018   4.783461         3300          290         2731         3869         1138
    163.198   5.091895         3400          286         2840         3960         1121
    227.493   5.424918         3500          288         2936         4064         1127
    323.893   5.778868         3600          295         3021         4179         1158
    495.386   6.204327         3700          309         3095         4305         1210
    766.184   6.640770         3800          327         3159         4441         1281
   1176.984   7.070286         3900          349         3216         4584         1369
