%afvoer	som1	som2	som3	som4	som5	som6	som7	som8	som9	som10	som11	som12
2000	3.047	2.667	2.816	2.944	3.188	3.075	3.003	2.846	2.789	2.798	2.685	2.846
4000	2.835	3.093	3.024	3.199	3.104	3.000	2.761	2.974	2.972	2.877	2.974	3.164
6000	3.153	3.014	2.968	3.143	3.369	3.230	3.167	3.084	3.100	3.181	3.152	2.891
8000	3.414	3.207	3.388	3.024	3.037	3.415	3.270	3.019	3.289	3.363	2.853	3.305
10000	3.540	3.246	3.455	3.185	3.315	3.405	3.292	3.185	2.979	3.031	3.488	3.618
12000	3.269	3.629	3.712	3.593	3.288	3.797	3.449	3.471	3.080	3.457	3.661	3.165
14000	3.816	3.177	3.728	3.473	3.465	3.689	3.364	3.562	3.683	3.480	3.440	3.633
16000	3.802	3.755	3.470	3.472	3.671	3.724	3.600	3.697	3.543	3.781	3.567	3.371
18000	3.382	3.817	3.644	3.586	4.010	3.847	3.765	3.798	3.814	3.875	3.342	3.860
20000	3.444	3.807	3.608	3.796	3.712	3.875	3.579	3.969	3.803	3.985	3.642	3.890
