LocationID; CalculationTypeID; TimeIntegrationSchemeID
100008; 0; 1
100008; 1; 1
100008; 2; 1
100008; 3; 1
100008; 4; 1
100008; 5; 1
100008; 6; 1
100008; 7; 1
100008; 8; 1
100008; 9; 1
100009; 0; 1
100009; 1; 1
100009; 2; 1
100009; 3; 1
100009; 4; 1
100009; 5; 1
100009; 6; 1
100009; 7; 1
100009; 8; 1
100009; 9; 1
100010; 0; 1
100010; 1; 1
100010; 2; 1
100010; 3; 1
100010; 4; 1
100010; 5; 1
100010; 6; 1
100010; 7; 1
100010; 8; 1
100010; 9; 1
100011; 0; 1
100011; 1; 1
100011; 2; 1
100011; 3; 1
100011; 4; 1
100011; 5; 1
100011; 6; 1
100011; 7; 1
100011; 8; 1
100011; 9; 1
100012; 0; 1
100012; 1; 1
100012; 2; 1
100012; 3; 1
100012; 4; 1
100012; 5; 1
100012; 6; 1
100012; 7; 1
100012; 8; 1
100012; 9; 1
100013; 0; 1
100013; 1; 1
100013; 2; 1
100013; 3; 1
100013; 4; 1
100013; 5; 1
100013; 6; 1
100013; 7; 1
100013; 8; 1
100013; 9; 1
100014; 0; 1
100014; 1; 1
100014; 2; 1
100014; 3; 1
100014; 4; 1
100014; 5; 1
100014; 6; 1
100014; 7; 1
100014; 8; 1
100014; 9; 1
100015; 0; 1
100015; 1; 1
100015; 2; 1
100015; 3; 1
100015; 4; 1
100015; 5; 1
100015; 6; 1
100015; 7; 1
100015; 8; 1
100015; 9; 1
100016; 0; 1
100016; 1; 1
100016; 2; 1
100016; 3; 1
100016; 4; 1
100016; 5; 1
100016; 6; 1
100016; 7; 1
100016; 8; 1
100016; 9; 1
100017; 0; 1
100017; 1; 1
100017; 2; 1
100017; 3; 1
100017; 4; 1
100017; 5; 1
100017; 6; 1
100017; 7; 1
100017; 8; 1
100017; 9; 1
100018; 0; 1
100018; 1; 1
100018; 2; 1
100018; 3; 1
100018; 4; 1
100018; 5; 1
100018; 6; 1
100018; 7; 1
100018; 8; 1
100018; 9; 1
100019; 0; 1
100019; 1; 1
100019; 2; 1
100019; 3; 1
100019; 4; 1
100019; 5; 1
100019; 6; 1
100019; 7; 1
100019; 8; 1
100019; 9; 1
100020; 0; 1
100020; 1; 1
100020; 2; 1
100020; 3; 1
100020; 4; 1
100020; 5; 1
100020; 6; 1
100020; 7; 1
100020; 8; 1
100020; 9; 1
100021; 0; 1
100021; 1; 1
100021; 2; 1
100021; 3; 1
100021; 4; 1
100021; 5; 1
100021; 6; 1
100021; 7; 1
100021; 8; 1
100021; 9; 1
100022; 0; 1
100022; 1; 1
100022; 2; 1
100022; 3; 1
100022; 4; 1
100022; 5; 1
100022; 6; 1
100022; 7; 1
100022; 8; 1
100022; 9; 1
100023; 0; 1
100023; 1; 1
100023; 2; 1
100023; 3; 1
100023; 4; 1
100023; 5; 1
100023; 6; 1
100023; 7; 1
100023; 8; 1
100023; 9; 1
100024; 0; 1
100024; 1; 1
100024; 2; 1
100024; 3; 1
100024; 4; 1
100024; 5; 1
100024; 6; 1
100024; 7; 1
100024; 8; 1
100024; 9; 1
100025; 0; 1
100025; 1; 1
100025; 2; 1
100025; 3; 1
100025; 4; 1
100025; 5; 1
100025; 6; 1
100025; 7; 1
100025; 8; 1
100025; 9; 1
100026; 0; 1
100026; 1; 1
100026; 2; 1
100026; 3; 1
100026; 4; 1
100026; 5; 1
100026; 6; 1
100026; 7; 1
100026; 8; 1
100026; 9; 1
100027; 0; 1
100027; 1; 1
100027; 2; 1
100027; 3; 1
100027; 4; 1
100027; 5; 1
100027; 6; 1
100027; 7; 1
100027; 8; 1
100027; 9; 1
100028; 0; 1
100028; 1; 1
100028; 2; 1
100028; 3; 1
100028; 4; 1
100028; 5; 1
100028; 6; 1
100028; 7; 1
100028; 8; 1
100028; 9; 1
100029; 0; 1
100029; 1; 1
100029; 2; 1
100029; 3; 1
100029; 4; 1
100029; 5; 1
100029; 6; 1
100029; 7; 1
100029; 8; 1
100029; 9; 1
100030; 0; 1
100030; 1; 1
100030; 2; 1
100030; 3; 1
100030; 4; 1
100030; 5; 1
100030; 6; 1
100030; 7; 1
100030; 8; 1
100030; 9; 1
100031; 0; 1
100031; 1; 1
100031; 2; 1
100031; 3; 1
100031; 4; 1
100031; 5; 1
100031; 6; 1
100031; 7; 1
100031; 8; 1
100031; 9; 1
100032; 0; 1
100032; 1; 1
100032; 2; 1
100032; 3; 1
100032; 4; 1
100032; 5; 1
100032; 6; 1
100032; 7; 1
100032; 8; 1
100032; 9; 1
100033; 0; 1
100033; 1; 1
100033; 2; 1
100033; 3; 1
100033; 4; 1
100033; 5; 1
100033; 6; 1
100033; 7; 1
100033; 8; 1
100033; 9; 1
100034; 0; 1
100034; 1; 1
100034; 2; 1
100034; 3; 1
100034; 4; 1
100034; 5; 1
100034; 6; 1
100034; 7; 1
100034; 8; 1
100034; 9; 1
100035; 0; 1
100035; 1; 1
100035; 2; 1
100035; 3; 1
100035; 4; 1
100035; 5; 1
100035; 6; 1
100035; 7; 1
100035; 8; 1
100035; 9; 1
100036; 0; 1
100036; 1; 1
100036; 2; 1
100036; 3; 1
100036; 4; 1
100036; 5; 1
100036; 6; 1
100036; 7; 1
100036; 8; 1
100036; 9; 1
100037; 0; 1
100037; 1; 1
100037; 2; 1
100037; 3; 1
100037; 4; 1
100037; 5; 1
100037; 6; 1
100037; 7; 1
100037; 8; 1
100037; 9; 1
100038; 0; 1
100038; 1; 1
100038; 2; 1
100038; 3; 1
100038; 4; 1
100038; 5; 1
100038; 6; 1
100038; 7; 1
100038; 8; 1
100038; 9; 1
100039; 0; 1
100039; 1; 1
100039; 2; 1
100039; 3; 1
100039; 4; 1
100039; 5; 1
100039; 6; 1
100039; 7; 1
100039; 8; 1
100039; 9; 1
100040; 0; 1
100040; 1; 1
100040; 2; 1
100040; 3; 1
100040; 4; 1
100040; 5; 1
100040; 6; 1
100040; 7; 1
100040; 8; 1
100040; 9; 1
100041; 0; 1
100041; 1; 1
100041; 2; 1
100041; 3; 1
100041; 4; 1
100041; 5; 1
100041; 6; 1
100041; 7; 1
100041; 8; 1
100041; 9; 1
100042; 0; 1
100042; 1; 1
100042; 2; 1
100042; 3; 1
100042; 4; 1
100042; 5; 1
100042; 6; 1
100042; 7; 1
100042; 8; 1
100042; 9; 1
100043; 0; 1
100043; 1; 1
100043; 2; 1
100043; 3; 1
100043; 4; 1
100043; 5; 1
100043; 6; 1
100043; 7; 1
100043; 8; 1
100043; 9; 1
100044; 0; 1
100044; 1; 1
100044; 2; 1
100044; 3; 1
100044; 4; 1
100044; 5; 1
100044; 6; 1
100044; 7; 1
100044; 8; 1
100044; 9; 1
100045; 0; 1
100045; 1; 1
100045; 2; 1
100045; 3; 1
100045; 4; 1
100045; 5; 1
100045; 6; 1
100045; 7; 1
100045; 8; 1
100045; 9; 1
100046; 0; 1
100046; 1; 1
100046; 2; 1
100046; 3; 1
