LocationID; CalculationTypeID; Min; Max
1200001; 0;    3;    5
1200001; 1;   10;   50
1200001; 2;    1;    4
1200001; 5;    2;    4
1200002; 0;    3;    5
1200002; 1;   10;   50
1200002; 2;    1;    4
1200002; 5;    2;    4
1200003; 0;    3;    5
1200003; 1;   10;   50
1200003; 2;    1;    4
1200003; 5;    2;    4
1200004; 0;    3;    5
1200004; 1;   10;   50
1200004; 2;    1;    4
1200004; 5;    2;    4
1200005; 0;    3;    5
1200005; 1;   10;   50
1200005; 2;    1;    4
1200005; 5;    2;    4
1200006; 0;    3;    5
1200006; 1;   10;   50
1200006; 2;    1;    4
1200006; 5;    2;    4
1200007; 0;    3;    5
1200007; 1;   10;   50
1200007; 2;    1;    4
1200007; 5;    2;    4
1200008; 0;    3;    5
1200008; 1;   10;   50
1200008; 2;    1;    4
1200008; 5;    2;    4
1200009; 0;    3;    5
1200009; 1;   10;   50
1200009; 2;    1;    4
1200009; 5;    2;    4
1200010; 0;    3;    5
1200010; 1;   10;   50
1200010; 2;    1;    4
1200010; 5;    2;    4
1200011; 0;    3;    5
1200011; 1;   10;   50
1200011; 2;    1;    4
1200011; 5;    2;    4
1200012; 0;    3;    5
1200012; 1;   10;   50
1200012; 2;    1;    4
1200012; 5;    2;    4
1200013; 0;    3;    5
1200013; 1;   10;   50
1200013; 2;    1;    4
1200013; 5;    2;    4
1200014; 0;    3;    5
1200014; 1;   10;   50
1200014; 2;    1;    4
1200014; 5;    2;    4
1200015; 0;    3;    5
1200015; 1;   10;   50
1200015; 2;    1;    4
1200015; 5;    2;    4
1200016; 0;    3;    5
1200016; 1;   10;   50
1200016; 2;    1;    4
1200016; 5;    2;    4
1200017; 0;    3;    5
1200017; 1;   10;   50
1200017; 2;    1;    4
1200017; 5;    2;    4
1200018; 0;    3;    5
1200018; 1;   10;   50
1200018; 2;    1;    4
1200018; 5;    2;    4
1200019; 0;    3;    5
1200019; 1;   10;   50
1200019; 2;    1;    4
1200019; 5;    2;    4
1200020; 0;    3;    5
1200020; 1;   10;   50
1200020; 2;    1;    4
1200020; 5;    2;    4
1200021; 0;    3;    5
1200021; 1;   10;   50
1200021; 2;    1;    4
1200021; 5;    2;    4
1200022; 0;    3;    5
1200022; 1;   10;   50
1200022; 2;    1;    4
1200022; 5;    2;    4
1200023; 0;    3;    5
1200023; 1;   10;   50
1200023; 2;    1;    4
1200023; 5;    2;    4
1200024; 0;    3;    5
1200024; 1;   10;   50
1200024; 2;    1;    4
1200024; 5;    2;    4
1200025; 0;    3;    5
1200025; 1;   10;   50
1200025; 2;    1;    4
1200025; 5;    2;    4
1200026; 0;    3;    5
1200026; 1;   10;   50
1200026; 2;    1;    4
1200026; 5;    2;    4
1200027; 0;    3;    5
1200027; 1;   10;   50
1200027; 2;    1;    4
1200027; 5;    2;    4
1200028; 0;    3;    5
1200028; 1;   10;   50
1200028; 2;    1;    4
1200028; 5;    2;    4
1200029; 0;    3;    5
1200029; 1;   10;   50
1200029; 2;    1;    4
1200029; 5;    2;    4
1200030; 0;    3;    5
1200030; 1;   10;   50
1200030; 2;    1;    4
1200030; 5;    2;    4
1200031; 0;    3;    5
1200031; 1;   10;   50
1200031; 2;    1;    4
1200031; 5;    2;    4
1200032; 0;    3;    5
1200032; 1;   10;   50
1200032; 2;    1;    4
1200032; 5;    2;    4
1200033; 0;    3;    5
1200033; 1;   10;   50
1200033; 2;    1;    4
1200033; 5;    2;    4
1200034; 0;    3;    5
1200034; 1;   10;   50
1200034; 2;    1;    4
1200034; 5;    2;    4
1200035; 0;    3;    5
1200035; 1;   10;   50
1200035; 2;    1;    4
1200035; 5;    2;    4
1200036; 0;    3;    5
1200036; 1;   10;   50
1200036; 2;    1;    4
1200036; 5;    2;    4
